Jahr_F,Jahr,Geschlecht_F,Geschlecht,Alter_F,Alter,Auspraegung_F,Einschätzung,Anteil (in %),95 % Konfidenzintervall (in %)
2019,20190,Weiblich,1,18 bis 29 Jahre,1,Nein,3,66.7,62.1 bis 71.2
2019,20190,Weiblich,1,18 bis 29 Jahre,1,"Ja, einmal",2,18.9,15.1 bis 22.6
2019,20190,Weiblich,1,18 bis 29 Jahre,1,"Ja, mehrfach",1,14.5,11.1 bis 17.8
2019,20190,Weiblich,1,30 bis 39 Jahre,2,Nein,3,81.7,78.5 bis 84.9
2019,20190,Weiblich,1,30 bis 39 Jahre,2,"Ja, einmal",2,7.3,5.1 bis 9.4
2019,20190,Weiblich,1,30 bis 39 Jahre,2,"Ja, mehrfach",1,11,8.5 bis 13.6
2019,20190,Weiblich,1,40 bis 49 Jahre,3,Nein,3,82.6,79.2 bis 86.1
2019,20190,Weiblich,1,40 bis 49 Jahre,3,"Ja, einmal",2,7.8,5.4 bis 10.2
2019,20190,Weiblich,1,40 bis 49 Jahre,3,"Ja, mehrfach",1,9.6,6.9 bis 12.3
2019,20190,Weiblich,1,50 bis 59 Jahre,4,Nein,3,84.2,80.3 bis 88.0
2019,20190,Weiblich,1,50 bis 59 Jahre,4,"Ja, einmal",2,6.1,3.6 bis 8.6
2019,20190,Weiblich,1,50 bis 59 Jahre,4,"Ja, mehrfach",1,9.7,6.6 bis 12.9
2019,20190,Weiblich,1,60 bis 69 Jahre,5,Nein,3,88.6,84.7 bis 92.5
2019,20190,Weiblich,1,60 bis 69 Jahre,5,"Ja, einmal",2,3.8,1.4 bis 6.1
2019,20190,Weiblich,1,60 bis 69 Jahre,5,"Ja, mehrfach",1,7.6,4.4 bis 10.8
2019,20190,Weiblich,1,70 Jahre oder mehr,6,Nein,3,92.2,89.6 bis 94.9
2019,20190,Weiblich,1,70 Jahre oder mehr,6,"Ja, einmal",2,2.9,1.2 bis 4.6
2019,20190,Weiblich,1,70 Jahre oder mehr,6,"Ja, mehrfach",1,4.9,2.7 bis 7.0
2019,20190,Männlich,2,18 bis 29 Jahre,1,Nein,3,77.3,73.3 bis 81.3
