Group1,Group2,Value
A,A,629
A,B,777
A,C,328
A,D,64
A,E,951
A,F,628
A,G,625
A,H,50
A,I,188
A,J,94
B,A,184
B,B,969
B,C,760
B,D,207
B,E,822
B,F,923
B,G,928
B,H,517
B,I,599
B,J,653
C,A,568
C,B,448
C,C,0
C,D,284
C,E,519
C,F,302
C,G,675
C,H,771
C,I,849
C,J,926
D,A,941
D,B,162
D,C,843
D,D,591
D,E,429
D,F,788
D,G,699
D,H,891
D,I,1000
D,J,135
E,A,119
E,B,354
E,C,996
E,D,932
E,E,426
E,F,51
E,G,457
E,H,317
E,I,462
E,J,960
F,A,254
F,B,291
F,C,453
F,D,890
F,E,163
F,F,971
F,G,645
F,H,809
F,I,45
F,J,265
G,A,875
G,B,94
G,C,222
G,D,768
G,E,468
G,F,887
G,G,517
G,H,606
G,I,325
G,J,972
H,A,256
H,B,99
H,C,408
H,D,970
H,E,801
H,F,311
H,G,769
H,H,627
H,I,722
H,J,543
I,A,754
I,B,280
I,C,647
I,D,748
I,E,981
I,F,564
I,G,517
I,H,613
I,I,431
I,J,127
J,A,608
J,B,638
J,C,776
J,D,534
J,E,118
J,F,476
J,G,10
J,H,714
J,I,796
J,J,796
