Jahr,Region,Schweiz
01.01.2000,Schweiz,102707
01.04.2000,Schweiz,104873
01.07.2000,Schweiz,106076
01.10.2000,Schweiz,108406
01.01.2001,Schweiz,106123
01.04.2001,Schweiz,107596
01.07.2001,Schweiz,106993
01.10.2001,Schweiz,109609
01.01.2002,Schweiz,106743
01.04.2002,Schweiz,108737
01.07.2002,Schweiz,108366
01.10.2002,Schweiz,110412
01.01.2003,Schweiz,107183
01.04.2003,Schweiz,109101
01.07.2003,Schweiz,109116
01.10.2003,Schweiz,112330
01.01.2004,Schweiz,110750
01.04.2004,Schweiz,113484
01.07.2004,Schweiz,111799
01.10.2004,Schweiz,115345
01.01.2005,Schweiz,112372
01.04.2005,Schweiz,115420
01.07.2005,Schweiz,115780
01.10.2005,Schweiz,120226
01.01.2006,Schweiz,119128
01.04.2006,Schweiz,122045
01.07.2006,Schweiz,123177
01.10.2006,Schweiz,126194
01.01.2007,Schweiz,126099
01.04.2007,Schweiz,129875
01.07.2007,Schweiz,130601
01.10.2007,Schweiz,134525
01.01.2008,Schweiz,133311
01.04.2008,Schweiz,137395
01.07.2008,Schweiz,136408
01.10.2008,Schweiz,137083
01.01.2009,Schweiz,130792
01.04.2009,Schweiz,133162
01.07.2009,Schweiz,134024
01.10.2009,Schweiz,137304
01.01.2010,Schweiz,132953
01.04.2010,Schweiz,136050
01.07.2010,Schweiz,136368
01.10.2010,Schweiz,140874
01.01.2000,Agglomeration Zürich,20947
01.04.2000,Agglomeration Zürich,21537
01.07.2000,Agglomeration Zürich,21864
01.10.2000,Agglomeration Zürich,22190
01.01.2001,Agglomeration Zürich,21531
01.04.2001,Agglomeration Zürich,21601
01.07.2001,Agglomeration Zürich,21355
01.10.2001,Agglomeration Zürich,21845
01.01.2002,Agglomeration Zürich,21280
01.04.2002,Agglomeration Zürich,21531
01.07.2002,Agglomeration Zürich,21419
01.10.2002,Agglomeration Zürich,21843
01.01.2003,Agglomeration Zürich,21201
01.04.2003,Agglomeration Zürich,21605
01.07.2003,Agglomeration Zürich,21666
01.10.2003,Agglomeration Zürich,22330
01.01.2004,Agglomeration Zürich,22057
01.04.2004,Agglomeration Zürich,22460
01.07.2004,Agglomeration Zürich,22060
01.10.2004,Agglomeration Zürich,22618
01.01.2005,Agglomeration Zürich,22083
01.04.2005,Agglomeration Zürich,22593
01.07.2005,Agglomeration Zürich,22821
01.10.2005,Agglomeration Zürich,23836
01.01.2006,Agglomeration Zürich,23683
01.04.2006,Agglomeration Zürich,24236
01.07.2006,Agglomeration Zürich,24552
01.10.2006,Agglomeration Zürich,25206
01.01.2007,Agglomeration Zürich,25381
01.04.2007,Agglomeration Zürich,26056
01.07.2007,Agglomeration Zürich,26252
01.10.2007,Agglomeration Zürich,27007
01.01.2008,Agglomeration Zürich,26835
01.04.2008,Agglomeration Zürich,27320
01.07.2008,Agglomeration Zürich,27174
01.10.2008,Agglomeration Zürich,27320
01.01.2009,Agglomeration Zürich,26260
01.04.2009,Agglomeration Zürich,26534
01.07.2009,Agglomeration Zürich,26619
01.10.2009,Agglomeration Zürich,27238
01.01.2010,Agglomeration Zürich,26401
01.04.2010,Agglomeration Zürich,26785
01.07.2010,Agglomeration Zürich,26854
01.10.2010,Agglomeration Zürich,27717
01.01.2000,Stadt Zürich,11783
01.04.2000,Stadt Zürich,12094
01.07.2000,Stadt Zürich,12289
01.10.2000,Stadt Zürich,12299
01.01.2001,Stadt Zürich,11974
01.04.2001,Stadt Zürich,11857
01.07.2001,Stadt Zürich,11748
01.10.2001,Stadt Zürich,11874
01.01.2002,Stadt Zürich,11712
01.04.2002,Stadt Zürich,11807
01.07.2002,Stadt Zürich,11827
01.10.2002,Stadt Zürich,11917
01.01.2003,Stadt Zürich,11715
01.04.2003,Stadt Zürich,11909
01.07.2003,Stadt Zürich,12038
01.10.2003,Stadt Zürich,12273
01.01.2004,Stadt Zürich,12240
01.04.2004,Stadt Zürich,12347
01.07.2004,Stadt Zürich,12177
01.10.2004,Stadt Zürich,12285
01.01.2005,Stadt Zürich,12172
01.04.2005,Stadt Zürich,12341
01.07.2005,Stadt Zürich,12601
01.10.2005,Stadt Zürich,13047
01.01.2006,Stadt Zürich,13125
01.04.2006,Stadt Zürich,13360
01.07.2006,Stadt Zürich,13626
01.10.2006,Stadt Zürich,13881
01.01.2007,Stadt Zürich,14172
01.04.2007,Stadt Zürich,14492
01.07.2007,Stadt Zürich,14681
01.10.2007,Stadt Zürich,14906
01.01.2008,Stadt Zürich,14875
01.04.2008,Stadt Zürich,14941
01.07.2008,Stadt Zürich,14965
01.10.2008,Stadt Zürich,14885
01.01.2009,Stadt Zürich,14497
01.04.2009,Stadt Zürich,14534
01.07.2009,Stadt Zürich,14618
01.10.2009,Stadt Zürich,14789
01.01.2010,Stadt Zürich,14481
01.04.2010,Stadt Zürich,14582
01.07.2010,Stadt Zürich,14640
01.10.2010,Stadt Zürich,14940
01.01.2000,Genève,7734
01.04.2000,Genève,7882
01.07.2000,Genève,7867
01.10.2000,Genève,8070
01.01.2001,Genève,7934
01.04.2001,Genève,8009
01.07.2001,Genève,7927
01.10.2001,Genève,8187
01.01.2002,Genève,8016
01.04.2002,Genève,8109
01.07.2002,Genève,8118
01.10.2002,Genève,8351
01.01.2003,Genève,8185
01.04.2003,Genève,8326
01.07.2003,Genève,8293
01.10.2003,Genève,8572
01.01.2004,Genève,8524
01.04.2004,Genève,8679
01.07.2004,Genève,8528
01.10.2004,Genève,8834
01.01.2005,Genève,8724
01.04.2005,Genève,8941
01.07.2005,Genève,9074
01.10.2005,Genève,9472
01.01.2006,Genève,9451
01.04.2006,Genève,9615
01.07.2006,Genève,9708
01.10.2006,Genève,9920
01.01.2007,Genève,10047
01.04.2007,Genève,10344
01.07.2007,Genève,10390
01.10.2007,Genève,10720
01.01.2008,Genève,10677
01.04.2008,Genève,10837
01.07.2008,Genève,10751
01.10.2008,Genève,10844
01.01.2009,Genève,10440
01.04.2009,Genève,10591
01.07.2009,Genève,10577
01.10.2009,Genève,10866
01.01.2010,Genève,10665
01.04.2010,Genève,10849
01.07.2010,Genève,10784
01.10.2010,Genève,11161
