Alter,Geschlecht,Anzahl
0,Frauen,2126
0,Männer,2296
1,Frauen,2091
1,Männer,2281
2,Frauen,2043
2,Männer,2106
3,Frauen,1928
3,Männer,1978
4,Frauen,1648
4,Männer,1861
5,Frauen,1620
5,Männer,1751
6,Frauen,1598
6,Männer,1603
7,Frauen,1507
7,Männer,1584
8,Frauen,1460
8,Männer,1443
9,Frauen,1319
9,Männer,1478
10,Frauen,1337
10,Männer,1374
11,Frauen,1262
11,Männer,1349
12,Frauen,1302
12,Männer,1433
13,Frauen,1253
13,Männer,1387
14,Frauen,1262
14,Männer,1285
15,Frauen,1213
15,Männer,1323
16,Frauen,1283
16,Männer,1403
17,Frauen,1279
17,Männer,1372
18,Frauen,1378
18,Männer,1362
19,Frauen,1604
19,Männer,1575
20,Frauen,1986
20,Männer,1949
21,Frauen,2341
21,Männer,2375
22,Frauen,2526
22,Männer,2621
23,Frauen,2804
23,Männer,2924
24,Frauen,3287
24,Männer,3317
25,Frauen,3615
25,Männer,3508
26,Frauen,3775
26,Männer,3879
27,Frauen,4120
27,Männer,3999
28,Frauen,4368
28,Männer,4408
29,Frauen,4258
29,Männer,4455
30,Frauen,4506
30,Männer,4648
31,Frauen,4471
31,Männer,4740
32,Frauen,4459
32,Männer,4792
33,Frauen,4169
33,Männer,4498
34,Frauen,3996
34,Männer,4410
35,Frauen,3905
35,Männer,4272
36,Frauen,3673
36,Männer,4072
37,Frauen,3414
37,Männer,3876
38,Frauen,3231
38,Männer,3820
39,Frauen,3188
39,Männer,3601
40,Frauen,2956
40,Männer,3473
41,Frauen,2857
41,Männer,3440
42,Frauen,2805
42,Männer,3496
43,Frauen,2811
43,Männer,3293
44,Frauen,2783
44,Männer,3273
45,Frauen,2878
45,Männer,3232
46,Frauen,2737
46,Männer,3100
47,Frauen,2685
47,Männer,2988
48,Frauen,2682
48,Männer,3100
49,Frauen,2554
49,Männer,2835
50,Frauen,2511
50,Männer,2679
51,Frauen,2372
51,Männer,2450
52,Frauen,2383
52,Männer,2459
53,Frauen,2230
53,Männer,2304
54,Frauen,2196
54,Männer,2157
55,Frauen,2062
55,Männer,2162
56,Frauen,2102
56,Männer,2136
57,Frauen,2003
57,Männer,1953
58,Frauen,1969
58,Männer,1929
59,Frauen,1954
59,Männer,1804
60,Frauen,1982
60,Männer,1840
61,Frauen,1818
61,Männer,1696
62,Frauen,1815
62,Männer,1733
63,Frauen,1757
63,Männer,1578
64,Frauen,1706
64,Männer,1577
65,Frauen,1734
65,Männer,1549
66,Frauen,1718
66,Männer,1494
67,Frauen,1667
67,Männer,1448
68,Frauen,1657
68,Männer,1384
69,Frauen,1562
69,Männer,1327
70,Frauen,1580
70,Männer,1308
71,Frauen,1546
71,Männer,1196
72,Frauen,1392
72,Männer,1076
73,Frauen,1437
73,Männer,1060
74,Frauen,1397
74,Männer,959
75,Frauen,1399
75,Männer,973
76,Frauen,1391
76,Männer,1001
77,Frauen,1435
77,Männer,897
78,Frauen,1353
78,Männer,968
79,Frauen,1416
79,Männer,830
80,Frauen,1360
80,Männer,789
81,Frauen,1370
81,Männer,780
82,Frauen,1382
82,Männer,764
83,Frauen,1327
83,Männer,682
84,Frauen,1248
84,Männer,624
85,Frauen,1149
85,Männer,586
86,Frauen,1083
86,Männer,538
87,Frauen,1002
87,Männer,464
88,Frauen,862
88,Männer,397
89,Frauen,776
89,Männer,327
90,Frauen,728
90,Männer,283
91,Frauen,592
91,Männer,213
92,Frauen,484
92,Männer,171
93,Frauen,319
93,Männer,110
94,Frauen,241
94,Männer,72
95,Frauen,207
95,Männer,50
96,Frauen,128
96,Männer,43
97,Frauen,114
97,Männer,28
98,Frauen,83
98,Männer,16
99,Frauen,134
99,Männer,24
