Jahr,Bildungsstand,Anteil,unten,oben
1970,Ohne nachobligatorische Ausbildung,32,32,32
1970,Sekundarstufe II,58.4,58.4,58.4
1970,Tertiärstufe,9.7,9.7,9.7
1980,Ohne nachobligatorische Ausbildung,33.9,33.9,33.9
1980,Sekundarstufe II,52.5,52.5,52.5
1980,Tertiärstufe,13.6,13.6,13.6
1990,Ohne nachobligatorische Ausbildung,31.2,31.2,31.2
1990,Sekundarstufe II,53.5,53.5,53.5
1990,Tertiärstufe,15.3,15.3,15.3
2000,Ohne nachobligatorische Ausbildung,27.9,27.9,27.9
2000,Sekundarstufe II,45.9,45.9,45.9
2000,Tertiärstufe,26.2,26.2,26.2
2010,Ohne nachobligatorische Ausbildung,21.1,20.7,21.5
2010,Sekundarstufe II,39.6,39.1,40
2010,Tertiärstufe,39.4,38.9,39.8
2011,Ohne nachobligatorische Ausbildung,20.4,19.6,21.2
2011,Sekundarstufe II,38.4,37.4,39.4
2011,Tertiärstufe,41.2,40.2,42.2
2012,Ohne nachobligatorische Ausbildung,19.8,19,20.6
2012,Sekundarstufe II,37.2,36.2,38.1
2012,Tertiärstufe,43,42,44
2013,Ohne nachobligatorische Ausbildung,19.4,18.6,20.2
2013,Sekundarstufe II,37.2,36.2,38.1
2013,Tertiärstufe,43.4,42.4,44.4
2014,Ohne nachobligatorische Ausbildung,19.5,18.7,20.3
2014,Sekundarstufe II,35.2,34.3,36.1
2014,Tertiärstufe,45.3,44.3,46.3
2015,Ohne nachobligatorische Ausbildung,18.7,17.9,19.5
2015,Sekundarstufe II,34.2,33.2,35.1
2015,Tertiärstufe,47.1,46.1,48.1
2016,Ohne nachobligatorische Ausbildung,18.1,17.6,18.7
2016,Sekundarstufe II,33.1,32.4,33.7
2016,Tertiärstufe,48.8,48.1,49.5
2017,Ohne nachobligatorische Ausbildung,17.6,16.8,18.3
2017,Sekundarstufe II,32.7,31.8,33.6
2017,Tertiärstufe,49.8,48.8,50.7
2018,Ohne nachobligatorische Ausbildung,16.3,15.5,17
2018,Sekundarstufe II,33.1,32.2,34.1
2018,Tertiärstufe,50.6,49.6,51.6
2019,Ohne nachobligatorische Ausbildung,15.1,14.4,15.9
2019,Sekundarstufe II,31.8,30.9,32.8
2019,Tertiärstufe,53,52,54
2020,Ohne nachobligatorische Ausbildung,15.5,14.7,16.2
2020,Sekundarstufe II,28.1,27.2,29
2020,Tertiärstufe,56.5,55.5,57.4
2021,Ohne nachobligatorische Ausbildung,15.6,14.8,16.3
2021,Sekundarstufe II,28.4,27.5,29.3
2021,Tertiärstufe,56,55,57
2022,Ohne nachobligatorische Ausbildung,15.2,14.4,15.9
2022,Sekundarstufe II,27.3,26.4,28.2
2022,Tertiärstufe,57.6,56.6,58.5
