xkoord,ykoord,kinder
8.49785,47.43487,0
8.49965,47.43487,0
8.50145,47.43487,0
8.50324,47.43487,0
8.50504,47.43487,0
8.49426,47.43366,0
8.49606,47.43366,0
8.49785,47.43366,0
8.49965,47.43366,0
8.50145,47.43366,0
8.50324,47.43366,0
8.50504,47.43366,0
8.50684,47.43366,0.026900001
8.50863,47.43366,0.020199999
8.51043,47.43366,0.020199999
8.5266,47.43366,0
8.5284,47.43366,0
8.53019,47.43366,0
8.53199,47.43366,0.042800002
8.53379,47.43366,0.367500007
8.54457,47.43366,11.19929981
8.54636,47.43366,10.19909954
8.48707,47.43244,0
8.48887,47.43244,0
8.49067,47.43244,0
8.49246,47.43244,0
8.49426,47.43244,0
8.49606,47.43244,0
8.49785,47.43244,0
8.49965,47.43244,0.1708
8.50145,47.43244,0.063299999
8.50324,47.43244,0.036800001
8.50504,47.43244,0.087499999
8.50684,47.43244,0.172700003
8.50863,47.43244,0.164499998
8.51043,47.43244,0.141499996
8.51223,47.43244,0.086800002
8.51402,47.43244,0.0276
8.51582,47.43244,0
8.51762,47.43244,0
8.51941,47.43244,0
8.52121,47.43244,0
8.52301,47.43244,0
8.5248,47.43244,0
8.5266,47.43244,0
8.5284,47.43244,0
8.53019,47.43244,0.018999999
8.53199,47.43244,0.497000009
8.53379,47.43244,1.414999962
8.53558,47.43244,2.880899906
8.53738,47.43244,4.832499981
8.53918,47.43244,7.947800159
8.54097,47.43244,11.71030045
8.54277,47.43244,15.00139999
8.54457,47.43244,16.80369949
8.54636,47.43244,16.44739914
8.54816,47.43244,13.37139988
8.54996,47.43244,9.604200363
8.55175,47.43244,5.573900223
8.48528,47.43123,0
8.48707,47.43123,0
8.48887,47.43123,0
8.49067,47.43123,0
8.49246,47.43123,0
8.49426,47.43123,0
8.49606,47.43123,0.246900007
8.49785,47.43123,0.450700015
8.49965,47.43123,0.735000014
8.50145,47.43123,1.014600039
8.50324,47.43123,0.766799986
8.50504,47.43123,0.414400011
8.50684,47.43123,0.500899971
8.50863,47.43123,0.488499999
8.51043,47.43123,0.455000013
8.51223,47.43123,0.497799993
8.51402,47.43123,0.617399991
8.51582,47.43123,0.136600003
8.51762,47.43123,0
8.51941,47.43123,0.056600001
8.52121,47.43123,0.125699997
8.52301,47.43123,0.226300001
8.5248,47.43123,0.194800004
8.5266,47.43123,0
8.5284,47.43123,0
8.53019,47.43123,0.320100009
8.53199,47.43123,1.217599988
8.53379,47.43123,2.605900049
8.53558,47.43123,4.612100124
8.53738,47.43123,7.425899982
8.53918,47.43123,11.24940014
8.54097,47.43123,15.99339962
8.54277,47.43123,20.12919998
8.54457,47.43123,22.82690048
8.54636,47.43123,23.00530052
8.54816,47.43123,19.63100052
8.54996,47.43123,14.8448
8.55175,47.43123,10.05370045
8.55355,47.43123,6.645500183
8.55535,47.43123,4.097899914
8.48528,47.43001,0
8.48707,47.43001,0
8.48887,47.43001,0
8.49067,47.43001,0
8.49246,47.43001,0
8.49426,47.43001,0.246900007
8.49606,47.43001,1.137899995
8.49785,47.43001,1.978700042
8.49965,47.43001,2.849699974
8.50145,47.43001,3.404700041
8.50324,47.43001,3.712500095
8.50504,47.43001,2.271899939
8.50684,47.43001,1.537999988
8.50863,47.43001,1.321799994
8.51043,47.43001,2.00819993
8.51223,47.43001,2.436700106
8.51402,47.43001,2.113699913
8.51582,47.43001,2.145800114
8.51762,47.43001,1.188899994
8.51941,47.43001,0.919099987
8.52121,47.43001,1.303200006
8.52301,47.43001,1.504799962
8.5248,47.43001,1.24240005
8.5266,47.43001,0.760599971
8.5284,47.43001,0.283499986
8.53019,47.43001,0.541100025
8.53199,47.43001,1.854200006
8.53379,47.43001,4.299099922
8.53558,47.43001,7.015699863
8.53738,47.43001,10.6402998
8.53918,47.43001,14.35289955
8.54097,47.43001,19.05010033
8.54277,47.43001,23.20549965
8.54457,47.43001,26.41539955
8.54636,47.43001,26.67889977
8.54816,47.43001,23.95079994
8.54996,47.43001,19.85199928
8.55175,47.43001,14.6473999
8.55355,47.43001,10.31939983
8.55535,47.43001,7.110000134
8.48528,47.4288,0
8.48707,47.4288,0
8.48887,47.4288,0
8.49067,47.4288,0
8.49246,47.4288,0.43900001
8.49426,47.4288,1.420300007
8.49606,47.4288,3.083199978
8.49785,47.4288,5.113900185
8.49965,47.4288,7.536200047
8.50145,47.4288,8.700099945
8.50324,47.4288,8.50399971
8.50504,47.4288,6.916900158
8.50684,47.4288,5.547999859
8.50863,47.4288,4.105199814
8.51043,47.4288,4.342999935
8.51223,47.4288,5.393899918
8.51402,47.4288,5.420499802
8.51582,47.4288,5.306200027
8.51762,47.4288,4.184400082
8.51941,47.4288,3.908699989
8.52121,47.4288,3.353800058
8.52301,47.4288,3.538500071
8.5248,47.4288,3.102999926
8.5266,47.4288,2.145999908
8.5284,47.4288,1.283400059
8.53019,47.4288,1.208400011
8.53199,47.4288,2.911600113
8.53379,47.4288,6.298399925
8.53558,47.4288,9.585599899
8.53738,47.4288,13.17689991
8.53918,47.4288,17.25959969
8.54097,47.4288,21.66209984
8.54277,47.4288,25.2385006
8.54457,47.4288,27.84079933
8.54636,47.4288,28.44750023
8.54816,47.4288,26.13529968
8.54996,47.4288,22.30050087
8.55175,47.4288,17.4442997
8.55355,47.4288,13.20440006
8.55535,47.4288,9.842900276
8.55714,47.4288,6.141699791
8.48707,47.42758,0
8.48887,47.42758,0
8.49067,47.42758,0.521300018
8.49246,47.42758,1.36559999
8.49426,47.42758,2.883100033
8.49606,47.42758,5.673900127
8.49785,47.42758,10.09770012
8.49965,47.42758,14.34819984
8.50145,47.42758,15.89560032
8.50324,47.42758,16.27709961
8.50504,47.42758,14.54450035
8.50684,47.42758,11.5685997
8.50863,47.42758,9.664600372
8.51043,47.42758,9.055199623
8.51223,47.42758,9.700400352
8.51402,47.42758,9.975999832
8.51582,47.42758,9.236399651
8.51762,47.42758,8.123000145
8.51941,47.42758,7.023499966
8.52121,47.42758,5.970099926
8.52301,47.42758,5.604199886
8.5248,47.42758,4.991799831
8.5266,47.42758,3.534699917
8.5284,47.42758,1.924399972
8.53019,47.42758,1.421599984
8.53199,47.42758,3.72149992
8.53379,47.42758,7.387800217
8.53558,47.42758,11.63059998
8.53738,47.42758,15.68010044
8.53918,47.42758,19.34420013
8.54097,47.42758,22.34250069
8.54277,47.42758,25.07620049
8.54457,47.42758,26.90670013
8.54636,47.42758,27.39839935
8.54816,47.42758,26.40010071
8.54996,47.42758,23.13689995
8.55175,47.42758,18.53199959
8.55355,47.42758,14.47130013
8.55535,47.42758,11.01229954
8.55714,47.42758,6.972099781
8.49067,47.42637,0.966199994
8.49246,47.42637,2.202500105
8.49426,47.42637,4.554699898
8.49606,47.42637,9.557700157
8.49785,47.42637,15.94740009
8.49965,47.42637,21.56669998
8.50145,47.42637,26.08180046
8.50324,47.42637,26.13360023
8.50504,47.42637,23.39019966
8.50684,47.42637,19.91329956
8.50863,47.42637,15.95950031
8.51043,47.42637,14.73950005
8.51223,47.42637,14.95069981
8.51402,47.42637,14.11839962
8.51582,47.42637,13.25360012
8.51762,47.42637,11.68700027
8.51941,47.42637,9.545900345
8.52121,47.42637,8.597000122
8.52301,47.42637,7.095200062
8.5248,47.42637,6.236599922
8.5266,47.42637,4.465000153
8.5284,47.42637,2.617799997
8.53019,47.42637,1.98360002
8.53199,47.42637,4.128900051
8.53379,47.42637,7.817299843
8.53558,47.42637,12.40709972
8.53738,47.42637,16.84250069
8.53918,47.42637,20.04750061
8.54097,47.42637,22.53669929
8.54277,47.42637,24.02319908
8.54457,47.42637,25.39340019
8.54636,47.42637,25.78809929
8.54816,47.42637,24.3696003
8.54996,47.42637,21.73069954
8.55175,47.42637,18.38610077
8.55355,47.42637,14.25739956
8.55535,47.42637,10.60900021
8.55714,47.42637,6.74420023
8.49067,47.42515,1.256800056
8.49246,47.42515,2.625999928
8.49426,47.42515,6.261899948
8.49606,47.42515,12.81949997
8.49785,47.42515,20.7852993
8.49965,47.42515,27.88960075
8.50145,47.42515,33.66609955
8.50324,47.42515,35.08100128
8.50504,47.42515,31.70509911
8.50684,47.42515,26.01749992
8.50863,47.42515,21.92009926
8.51043,47.42515,19.41060066
8.51223,47.42515,18.05579948
8.51402,47.42515,16.62779999
8.51582,47.42515,14.89120007
8.51762,47.42515,12.93389988
8.51941,47.42515,10.53190041
8.52121,47.42515,8.45909977
8.52301,47.42515,7.380700111
8.5248,47.42515,6.160999775
8.5266,47.42515,4.41629982
8.5284,47.42515,2.500400066
8.53019,47.42515,1.666300058
8.53199,47.42515,3.401200056
8.53379,47.42515,7.457799912
8.53558,47.42515,12.6487999
8.53738,47.42515,17.35989952
8.53918,47.42515,19.95400047
8.54097,47.42515,21.73920059
8.54277,47.42515,22.52389908
8.54457,47.42515,22.97909927
8.54636,47.42515,23.0625
8.54816,47.42515,22.18309975
8.54996,47.42515,20.03739929
8.55175,47.42515,16.98340034
8.55355,47.42515,13.03549957
8.55535,47.42515,9.094900131
8.55714,47.42515,5.880400181
8.48168,47.42393,0
8.48348,47.42393,0
8.48887,47.42393,0.255100012
8.49067,47.42393,1.279199958
8.49246,47.42393,2.58769989
8.49426,47.42393,6.813199997
8.49606,47.42393,13.54829979
8.49785,47.42393,22.50650024
8.49965,47.42393,31.0746994
8.50145,47.42393,37.21369934
8.50324,47.42393,38.77500153
8.50504,47.42393,35.92679977
8.50684,47.42393,30.1345005
8.50863,47.42393,25.02230072
8.51043,47.42393,21.15690041
8.51223,47.42393,18.78930092
8.51402,47.42393,16.85300064
8.51582,47.42393,14.07089996
8.51762,47.42393,11.70540047
8.51941,47.42393,9.155500412
8.52121,47.42393,7.039500237
8.52301,47.42393,5.797999859
8.5248,47.42393,4.814499855
8.5266,47.42393,3.390899897
8.5284,47.42393,1.858899951
8.53019,47.42393,0.972299993
8.53199,47.42393,2.696799994
8.53379,47.42393,6.285099983
8.53558,47.42393,11.37619972
8.53738,47.42393,15.71140003
8.53918,47.42393,18.34869957
8.54097,47.42393,19.85960007
8.54277,47.42393,20.4864006
8.54457,47.42393,20.31080055
8.54636,47.42393,20.51939964
8.54816,47.42393,19.78849983
8.54996,47.42393,17.5807991
8.55175,47.42393,14.44859982
8.55355,47.42393,11.26939964
8.55535,47.42393,7.589700222
8.55714,47.42393,4.739600182
8.47809,47.42272,0.1131
8.47989,47.42272,0.0126
8.48168,47.42272,0.1131
8.48348,47.42272,0.150800005
8.48528,47.42272,0
8.48707,47.42272,0
8.48887,47.42272,0.119800001
8.49067,47.42272,0.94690001
8.49246,47.42272,2.78670001
8.49426,47.42272,5.873899937
8.49606,47.42272,12.1633997
8.49785,47.42272,20.82769966
8.49965,47.42272,28.96800041
8.50145,47.42272,35.33110046
8.50324,47.42272,37.23400116
8.50504,47.42272,35.27410126
8.50684,47.42272,31.14559937
8.50863,47.42272,24.98719978
8.51043,47.42272,21.72410011
8.51223,47.42272,18.85680008
8.51402,47.42272,15.17310047
8.51582,47.42272,11.93190002
8.51762,47.42272,8.860600472
8.51941,47.42272,5.986899853
