id,value
1101,0.1700
1102,0.9522
1103,0.7591
1104,0.55
1201,0.8628
1202,0.5854
1203,0.33655
1204,0.1188
1301,0.4206
1302,0.8794
1303,0.14933
1401,0.80
1402,0.4855
1403,0.5111
1404,0.9682
2101,0.6242
2102,0.08592
2103,0.34977
2104,0.231
2105,0.9331
2106,0.9553
2107,0.5425
2108,0.46080
2109,0.3763
2110,0.3118
2111,0.923
2112,0.6806
2301,0.5266
2302,0.36507
2303,0.29441
2401,0.18790
2402,0.8590
2403,0.9801
2404,0.3104
2405,0.5040
2406,0.1658
2407,0.27364
3101,0.7002
3102,0.4221
3103,0.7256
3104,0.2559
3105,0.44462
3106,0.6745
3301,0.4489
3302,0.19779
3303,0.17668
3304,0.6221
3305,0.17726
3306,0.1933
3401,0.3182
3402,0.9722
3403,0.9267
3404,0.16061
3405,0.8505
3406,0.7330
3407,0.08014
3408,0.1107
4101,0.5386
4102,0.3489
4103,0.05034
4201,0.7035
4202,0.6110
4203,0.7626
4204,0.2894
4205,0.434
4206,0.05935
4401,0.045628
4402,0.6130
4403,0.6218
4404,0.24477
4405,0.3063
5101,0.7452
5102,0.02320
5103,0.38131
5104,0.8792
5105,0.38736
5106,0.3358
5201,0.13388
5202,0.9598
5203,0.7569
5204,0.9418
6101,0.46617
6102,0.3270
6103,0.1385
6104,0.8678
6105,0.9836
6106,0.48908
6107,0.2875
6108,0.9700
6109,0.30158
6110,0.6588
6111,0.0401
6112,0.5616
6113,0.6542
6301,0.4764
6302,0.676
6303,0.1439
6304,0.18026
6305,0.9845
6306,0.08198
6307,0.4689
7101,0.1615
7102,0.05686
7103,0.4016
7104,0.893
7105,0.1240
7106,0.21367
7201,0.4830
7202,0.8547
7203,0.47863
7204,0.07278
7205,0.43485
7206,0.2748
7207,0.5084
7301,0.9396
7302,0.5059
7303,0.10397
7401,0.5042
7402,0.3361
7403,0.4937
7404,0.7447
7405,0.1705
7406,0.7262
7407,0.7415
8101,0.11090
8102,0.7468
8103,0.13173
8104,0.2816
8201,0.576
8202,0.7840
8203,0.4423
8204,0.2773
8301,0.6295
8302,0.9855
8303,0.8130
8304,0.7249
9101,0.9832
9102,0.12210
9103,0.7484
9104,0.02199
9105,0.6480
9106,0.906
9107,0.014158
9108,0.28178
9109,0.29
9201,0.9470
9202,0.4288
9203,0.1196
9204,0.8525
9205,0.7619
9206,0.7005
9207,0.3338
9208,0.2803
9209,0.24729
9210,0.6064
9211,0.8272
9212,0.30387
9213,0.8869
9214,0.7493
9215,0.7393
9216,0.9503
10101,0.7009
10102,0.9885
10103,0.7553
10104,0.8878
10105,0.655
10106,0.2524
10107,0.24918
10108,0.7131
10109,0.9888
10110,0.8113
10201,0.18799
10202,0.6519
10203,0.10628
10204,0.362
10205,0.980
10206,0.654
10207,0.16833
11101,0.9842
11102,0.401
11103,0.5239
11104,0.04259
11105,0.9928
11106,0.43208
11107,0.731
11501,0.4318
11502,0.4330
11503,0.08458
11504,0.0869
11505,0.35894
11506,0.5768
11507,0.7574
11508,0.08992
11509,0.46678
11510,0.82
11901,0.6518
11902,0.3549
11903,0.6518
11904,0.5015
11905,0.41581
11906,0.0480
11907,0.7296
11908,0.33386
11909,0.7381
12101,0.0014012
12102,0.2386
12103,0.26387
12201,0.6460
12202,0.482
12203,0.8206
12204,0.41970
12205,0.2904
12301,0.6727
12302,0.21799
12303,0.4917
12304,0.04759
