Jahr,Nationalität,Schweiz
1993,Schweiz,27819
1994,Schweiz,10412
1995,Schweiz,23092
1996,Schweiz,17296
1997,Schweiz,14156
1998,Schweiz,31530
1999,Schweiz,30883
2000,Schweiz,41284
2001,Schweiz,39534
2002,Schweiz,36391
2003,Schweiz,33443
2004,Schweiz,19275
2005,Schweiz,29830
2006,Schweiz,21430
2007,Schweiz,21582
2008,Schweiz,18028
2009,Schweiz,26156
2010,Schweiz,43780
2011,Schweiz,44884
2012,Schweiz,17647
2013,Schweiz,44344
2014,Schweiz,33812
1993,Deutschland,23127
1994,Deutschland,17427
1995,Deutschland,33393
1996,Deutschland,14246
1997,Deutschland,18933
1998,Deutschland,13306
1999,Deutschland,17478
2000,Deutschland,9258
2001,Deutschland,4187
2002,Deutschland,3772
2003,Deutschland,0
2004,Deutschland,0
2005,Deutschland,0
2006,Deutschland,4964
2007,Deutschland,9188
2008,Deutschland,6813
2009,Deutschland,16486
2010,Deutschland,11205
2011,Deutschland,19759
2012,Deutschland,42439
2013,Deutschland,16477
2014,Deutschland,38890
1993,Frankreich,12350
1994,Frankreich,34164
1995,Frankreich,25710
1996,Frankreich,24157
1997,Frankreich,34269
1998,Frankreich,19266
1999,Frankreich,15424
2000,Frankreich,44963
2001,Frankreich,44475
2002,Frankreich,21362
2003,Frankreich,28507
2004,Frankreich,36233
2005,Frankreich,13780
2006,Frankreich,17247
2007,Frankreich,56116
2008,Frankreich,23981
2009,Frankreich,48190
2010,Frankreich,49046
2011,Frankreich,22495
2012,Frankreich,49841
2013,Frankreich,34311
2014,Frankreich,50110
