Jahr,Eigentümerart,Anzahl Wohnungen
2001,Baugenossenschaft,229
2002,Baugenossenschaft,374
2003,Baugenossenschaft,306
2004,Baugenossenschaft,153
2005,Baugenossenschaft,217
2006,Baugenossenschaft,179
2007,Baugenossenschaft,554
2008,Baugenossenschaft,442
2009,Baugenossenschaft,121
2010,Baugenossenschaft,263
2011,Baugenossenschaft,636
2012,Baugenossenschaft,837
2013,Baugenossenschaft,632
2014,Baugenossenschaft,483
2001,Gesellschaften,592
2002,Gesellschaften,346
2003,Gesellschaften,535
2004,Gesellschaften,440
2005,Gesellschaften,778
2006,Gesellschaften,845
2007,Gesellschaften,1041
2008,Gesellschaften,184
2009,Gesellschaften,602
2010,Gesellschaften,326
2011,Gesellschaften,978
2012,Gesellschaften,865
2013,Gesellschaften,1193
2014,Gesellschaften,560
2001,Natürliche Personen,149
2002,Natürliche Personen,41
2003,Natürliche Personen,190
2004,Natürliche Personen,110
2005,Natürliche Personen,67
2006,Natürliche Personen,450
2007,Natürliche Personen,140
2008,Natürliche Personen,214
2009,Natürliche Personen,228
2010,Natürliche Personen,129
2011,Natürliche Personen,334
2012,Natürliche Personen,158
2013,Natürliche Personen,199
2014,Natürliche Personen,210
2001,Stockwerkeigentum,96
2002,Stockwerkeigentum,228
2003,Stockwerkeigentum,369
2004,Stockwerkeigentum,225
2005,Stockwerkeigentum,181
2006,Stockwerkeigentum,234
2007,Stockwerkeigentum,170
2008,Stockwerkeigentum,402
2009,Stockwerkeigentum,322
2010,Stockwerkeigentum,450
2011,Stockwerkeigentum,307
2012,Stockwerkeigentum,197
2013,Stockwerkeigentum,405
2014,Stockwerkeigentum,238
2001,Öffentlich,74
2002,Öffentlich,0
2003,Öffentlich,96
2004,Öffentlich,21
2005,Öffentlich,9
2006,Öffentlich,0
2007,Öffentlich,342
2008,Öffentlich,36
2009,Öffentlich,105
2010,Öffentlich,37
2011,Öffentlich,52
2012,Öffentlich,198
2013,Öffentlich,73
2014,Öffentlich,131
