Eigentümerart,Quartier,Anzahl Wohnungen
Natürliche Personen,Wollishofen,5
Baugenossenschaft,Wollishofen,26
Gesellschaften,Wollishofen,40
Öffentlich,Enge,0
Gesellschaften,Enge,69
Baugenossenschaft,Friesenberg,12
Baugenossenschaft,Sihlfeld,62
Baugenossenschaft,Werd,55
Baugenossenschaft,Langstrasse,54
Natürliche Personen,Langstrasse,11
Gesellschaften,Gewerbeschule,0
Gesellschaften,Escher Wyss,0
Stockwerkeigentum,Escher Wyss,186
Gesellschaften,Unterstrass,4
Gesellschaften,Oberstrass,6
Öffentlich,Oberstrass,0
Natürliche Personen,Fluntern,8
Gesellschaften,Fluntern,0
Natürliche Personen,Hottingen,1
Natürliche Personen,Hirslanden,0
Gesellschaften,Hirslanden,21
Gesellschaften,Witikon,26
Natürliche Personen,Witikon,36
Gesellschaften,Seefeld,9
Natürliche Personen,Seefeld,13
Stockwerkeigentum,Weinegg,3
Gesellschaften,Weinegg,3
Natürliche Personen,Weinegg,15
Öffentlich,Albisrieden,0
Natürliche Personen,Albisrieden,26
Öffentlich,Altstetten,0
Baugenossenschaft,Altstetten,13
Gesellschaften,Altstetten,0
Stockwerkeigentum,Altstetten,12
Natürliche Personen,Altstetten,11
Gesellschaften,Höngg,25
Stockwerkeigentum,Höngg,8
Natürliche Personen,Höngg,3
Baugenossenschaft,Affoltern,100
Öffentlich,Affoltern,41
Natürliche Personen,Affoltern,7
Stockwerkeigentum,Oerlikon,14
Natürliche Personen,Oerlikon,40
Baugenossenschaft,Oerlikon,21
Öffentlich,Seebach,90
Gesellschaften,Seebach,54
Natürliche Personen,Seebach,20
Öffentlich,Saatlen,0
Gesellschaften,Saatlen,20
Baugenossenschaft,Saatlen,32
Gesellschaften,Schwamendingen-Mitte,27
Stockwerkeigentum,Schwamendingen-Mitte,15
Natürliche Personen,Schwamendingen-Mitte,14
Gesellschaften,Hirzenbach,256
Baugenossenschaft,Hirzenbach,108
