Datum,Totalindex
01.12.2010,100
01.01.2011,99.5
01.02.2011,99.8
01.03.2011,100.4
01.04.2011,100.5
01.05.2011,100.5
01.06.2011,100.3
01.07.2011,99.5
01.08.2011,99.1
01.09.2011,99.4
01.10.2011,99.4
01.11.2011,99.3
01.12.2011,99.1
01.01.2012,98.9
01.02.2012,99.2
01.03.2012,99.7
01.04.2012,99.8
01.05.2012,99.6
01.06.2012,99.4
01.07.2012,99
01.08.2012,99
01.09.2012,99.2
01.10.2012,99.4
01.11.2012,98.9
01.12.2012,98.7
01.01.2013,98.8
01.02.2013,99.1
01.03.2013,99.3
01.04.2013,99.3
01.05.2013,99.4
01.06.2013,99.5
01.07.2013,99.2
01.08.2013,99.1
01.09.2013,99.4
01.10.2013,99.3
01.11.2013,99.4
01.12.2013,99.2
01.01.2014,98.9
01.02.2014,99
01.03.2014,99.4
01.04.2014,99.4
01.05.2014,99.6
01.06.2014,99.5
01.07.2014,99.2
01.08.2014,99.1
01.09.2014,99.2
01.10.2014,99.2
01.11.2014,99.2
01.12.2014,98.7
