Datum,Totalindex
2010 12,100.0
2011 01,100.0
2011 02,100.0
2011 03,100.0
2011 04,100.0
2011 05,100.0
2011 06,100.0
2011 07,100.0
2011 08,100.0
2011 09,99.4
2011 10,99.4
2011 11,99.3
2011 12,99.1
2012 01,98.9
2012 02,99.2
2012 03,100.0
2012 04,100.0
2012 05,100.0
2012 06,99.4
2012 07,99
2012 08,99
2012 09,99.2
2012 10,99.4
2012 11,98.9
2012 12,98.7
2013 01,98.8
2013 02,99.1
2013 03,99.3
2013 04,99.3
2013 05,99.4
2013 06,99.5
2013 07,99.2
2013 08,99.1
2013 09,99.4
2013 10,99.3
2013 11,99.4
2013 12,99.2
2014 01,98.9
