Region,Kategorie,Wert
Affoltern,Einwohner,12500
Affoltern,Arbeitsplätze,8200
Affoltern,Pendler,4300
Albisrieden,Einwohner,18200
Albisrieden,Arbeitsplätze,5600
Albisrieden,Pendler,12600
Altstetten,Einwohner,32100
Altstetten,Arbeitsplätze,24800
Altstetten,Pendler,7300
City,Einwohner,5200
City,Arbeitsplätze,42500
City,Pendler,37300
Enge,Einwohner,8900
Enge,Arbeitsplätze,12100
Enge,Pendler,3200
Fluntern,Einwohner,9800
Fluntern,Arbeitsplätze,7200
Fluntern,Pendler,
Hirslanden,Einwohner,21500
Hirslanden,Arbeitsplätze,14300
Hirslanden,Pendler,7200
