Jahr,Kategorie,Wert
1993,Beschäftigung,0
1994,Beschäftigung,1
1995,Beschäftigung,0
1996,Beschäftigung,2
1997,Beschäftigung,3
1998,Beschäftigung,3
1999,Beschäftigung,0
2000,Beschäftigung,2
2001,Beschäftigung,5
2002,Beschäftigung,2
2003,Beschäftigung,-3
2004,Beschäftigung,-1
2005,Beschäftigung,-1
2006,Beschäftigung,1
2007,Beschäftigung,5
2008,Beschäftigung,3
2009,Beschäftigung,2
2010,Beschäftigung,-1
1993,Produktivität,28
1994,Produktivität,-4
1995,Produktivität,-2
1996,Produktivität,19
1997,Produktivität,19
1998,Produktivität,10
1999,Produktivität,2
2000,Produktivität,11
2001,Produktivität,-17
2002,Produktivität,-2
2003,Produktivität,9
2004,Produktivität,3
2005,Produktivität,4
2006,Produktivität,13
2007,Produktivität,8
2008,Produktivität,-8
2009,Produktivität,-10
2010,Produktivität,-4
