Region,Kategorie,Wert
Schweiz,Import,
Stadt Zürich,Import,-10
Kanton Zürich,Import,-7.9
Winterthur und Umgebung,Import,
Limmattal,Import,-16.2
Glatttal,Import,
Oberland,Import,-0.2
Zimmerberg,Import,
Pfannenstiel,Import,-7.6
Unterland,Import,-2.8
Übrige Gebiete Zürich,Import,-7
Schweiz,Export,-2.2
Stadt Zürich,Export,
Kanton Zürich,Export,0.1
Winterthur und Umgebung,Export,
Limmattal,Export,-10.4
Glatttal,Export,
Oberland,Export,
Zimmerberg,Export,6
Pfannenstiel,Export,-4.3
Unterland,Export,-10.1
Übrige Gebiete Zürich,Export,
