Jahr,Nationalität,Anzahl
1934,Schweizer/-innen,3218
1935,Schweizer/-innen,520
1936,Schweizer/-innen,344
1937,Schweizer/-innen,1000
1938,Schweizer/-innen,4390
1939,Schweizer/-innen,7101
1940,Schweizer/-innen,1304
1941,Schweizer/-innen,1627
1942,Schweizer/-innen,1636
1943,Schweizer/-innen,3130
1944,Schweizer/-innen,2782
1945,Schweizer/-innen,3249
1946,Schweizer/-innen,4032
1947,Schweizer/-innen,1823
1948,Schweizer/-innen,1515
1949,Schweizer/-innen,1569
1950,Schweizer/-innen,1418
1951,Schweizer/-innen,1598
1952,Schweizer/-innen,2723
1953,Schweizer/-innen,1567
1954,Schweizer/-innen,517
1955,Schweizer/-innen,-503
1956,Schweizer/-innen,-2698
1957,Schweizer/-innen,-1619
1958,Schweizer/-innen,221
1959,Schweizer/-innen,-1287
1960,Schweizer/-innen,-3995
1961,Schweizer/-innen,-6438
1962,Schweizer/-innen,-5434
1963,Schweizer/-innen,-5413
1964,Schweizer/-innen,-4446
1965,Schweizer/-innen,-2982
1966,Schweizer/-innen,-3153
1967,Schweizer/-innen,-3245
1968,Schweizer/-innen,-3627
1969,Schweizer/-innen,-3250
1970,Schweizer/-innen,-5108
1971,Schweizer/-innen,-4903
1972,Schweizer/-innen,-5650
1973,Schweizer/-innen,-6302
1974,Schweizer/-innen,-4388
1975,Schweizer/-innen,-1674
1976,Schweizer/-innen,-2141
1977,Schweizer/-innen,-1049
1978,Schweizer/-innen,-2059
1979,Schweizer/-innen,-2285
1980,Schweizer/-innen,-4797
1981,Schweizer/-innen,-2982
1982,Schweizer/-innen,-3165
1983,Schweizer/-innen,-2738
1984,Schweizer/-innen,-1189
1985,Schweizer/-innen,-1874
1986,Schweizer/-innen,-654
1987,Schweizer/-innen,-2037
1988,Schweizer/-innen,-2200
1989,Schweizer/-innen,-2748
1990,Schweizer/-innen,-2310
1991,Schweizer/-innen,-920
1992,Schweizer/-innen,-2400
1993,Schweizer/-innen,-3206
1994,Schweizer/-innen,-1717
1995,Schweizer/-innen,-1483
1996,Schweizer/-innen,-1437
1997,Schweizer/-innen,-1149
1998,Schweizer/-innen,-531
1999,Schweizer/-innen,-506
2000,Schweizer/-innen,-291
2001,Schweizer/-innen,-455
2002,Schweizer/-innen,-1070
2003,Schweizer/-innen,-1779
2004,Schweizer/-innen,-2681
2005,Schweizer/-innen,-1478
2006,Schweizer/-innen,-1481
2007,Schweizer/-innen,-262
2008,Schweizer/-innen,-1947
2009,Schweizer/-innen,-2045
2010,Schweizer/-innen,-2169
1934,Ausländer/-innen,-681
1935,Ausländer/-innen,-476
1936,Ausländer/-innen,-841
1937,Ausländer/-innen,-595
1938,Ausländer/-innen,2841
1939,Ausländer/-innen,-702
1940,Ausländer/-innen,-2246
1941,Ausländer/-innen,-941
1942,Ausländer/-innen,-577
1943,Ausländer/-innen,592
1944,Ausländer/-innen,780
1945,Ausländer/-innen,-173
1946,Ausländer/-innen,3329
1947,Ausländer/-innen,5775
1948,Ausländer/-innen,2972
1949,Ausländer/-innen,-1040
1950,Ausländer/-innen,167
1951,Ausländer/-innen,3383
1952,Ausländer/-innen,2603
1953,Ausländer/-innen,1317
1954,Ausländer/-innen,2026
1955,Ausländer/-innen,2648
1956,Ausländer/-innen,3923
1957,Ausländer/-innen,5565
1958,Ausländer/-innen,2451
1959,Ausländer/-innen,1803
1960,Ausländer/-innen,5144
1961,Ausländer/-innen,6334
1962,Ausländer/-innen,4565
1963,Ausländer/-innen,2692
1964,Ausländer/-innen,1463
1965,Ausländer/-innen,-2132
1966,Ausländer/-innen,-254
1967,Ausländer/-innen,1620
1968,Ausländer/-innen,2772
1969,Ausländer/-innen,-1704
1970,Ausländer/-innen,-1861
1971,Ausländer/-innen,-334
1972,Ausländer/-innen,1691
1973,Ausländer/-innen,1232
1974,Ausländer/-innen,110
1975,Ausländer/-innen,-3820
1976,Ausländer/-innen,-2992
1977,Ausländer/-innen,-1041
1978,Ausländer/-innen,333
1979,Ausländer/-innen,1405
1980,Ausländer/-innen,1793
1981,Ausländer/-innen,2026
1982,Ausländer/-innen,2711
1983,Ausländer/-innen,1596
1984,Ausländer/-innen,374
1985,Ausländer/-innen,960
1986,Ausländer/-innen,1946
1987,Ausländer/-innen,2545
1988,Ausländer/-innen,2723
1989,Ausländer/-innen,2473
1990,Ausländer/-innen,4045
1991,Ausländer/-innen,6349
1992,Ausländer/-innen,1931
1993,Ausländer/-innen,3265
1994,Ausländer/-innen,2371
1995,Ausländer/-innen,2210
1996,Ausländer/-innen,934
1997,Ausländer/-innen,682
1998,Ausländer/-innen,1527
1999,Ausländer/-innen,2596
2000,Ausländer/-innen,986
2001,Ausländer/-innen,1988
2002,Ausländer/-innen,3759
2003,Ausländer/-innen,1929
2004,Ausländer/-innen,2907
2005,Ausländer/-innen,3019
2006,Ausländer/-innen,4143
2007,Ausländer/-innen,6376
2008,Ausländer/-innen,4730
2009,Ausländer/-innen,3230
2010,Ausländer/-innen,3538
