Qcode,Qname,Ländergruppe,Anzahl
021,Wollishofen,Türkei,68
021,Wollishofen,Tschechische Republik,26
021,Wollishofen,Spanien,158
021,Wollishofen,"Serbien und Montenegro, Kosovo",168
021,Wollishofen,Portugal,133
021,Wollishofen,Polen,69
021,Wollishofen,Österreich,148
021,Wollishofen,Niederlande,62
021,Wollishofen,Italien,450
021,Wollishofen,Grossbritannien,161
021,Wollishofen,Griechenland,30
021,Wollishofen,Frankreich,123
021,Wollishofen,Deutschland,1239
074,Witikon,Türkei,28
074,Witikon,Tschechische Republik,17
074,Witikon,Spanien,39
074,Witikon,"Serbien und Montenegro, Kosovo",54
074,Witikon,Portugal,85
074,Witikon,Polen,31
074,Witikon,Österreich,116
074,Witikon,Niederlande,39
074,Witikon,Italien,176
074,Witikon,Grossbritannien,74
074,Witikon,Griechenland,31
074,Witikon,Frankreich,137
074,Witikon,Deutschland,907
102,Wipkingen,Türkei,161
102,Wipkingen,Tschechische Republik,14
102,Wipkingen,Spanien,220
102,Wipkingen,"Serbien und Montenegro, Kosovo",261
102,Wipkingen,Portugal,223
102,Wipkingen,Polen,39
102,Wipkingen,Österreich,206
102,Wipkingen,Niederlande,56
102,Wipkingen,Italien,496
102,Wipkingen,Grossbritannien,111
102,Wipkingen,Griechenland,97
102,Wipkingen,Frankreich,125
102,Wipkingen,Deutschland,1517
041,Werd,Türkei,45
041,Werd,Tschechische Republik,6
041,Werd,Spanien,74
041,Werd,"Serbien und Montenegro, Kosovo",42
041,Werd,Portugal,75
041,Werd,Polen,20
041,Werd,Österreich,43
041,Werd,Niederlande,28
041,Werd,Italien,133
041,Werd,Grossbritannien,69
041,Werd,Griechenland,20
041,Werd,Frankreich,63
041,Werd,Deutschland,429
083,Weinegg,Türkei,23
083,Weinegg,Tschechische Republik,2
083,Weinegg,Spanien,34
083,Weinegg,"Serbien und Montenegro, Kosovo",42
083,Weinegg,Portugal,77
083,Weinegg,Polen,12
083,Weinegg,Österreich,88
083,Weinegg,Niederlande,29
083,Weinegg,Italien,99
083,Weinegg,Grossbritannien,43
083,Weinegg,Griechenland,41
083,Weinegg,Frankreich,40
083,Weinegg,Deutschland,492
061,Unterstrass,Türkei,79
061,Unterstrass,Tschechische Republik,16
061,Unterstrass,Spanien,237
061,Unterstrass,"Serbien und Montenegro, Kosovo",192
061,Unterstrass,Portugal,242
061,Unterstrass,Polen,73
061,Unterstrass,Österreich,246
061,Unterstrass,Niederlande,83
061,Unterstrass,Italien,566
