Monat,Jahr,Wert
9,2005-2006,93
10,2005-2006,84
11,2005-2006,39
12,2005-2006,34
1,2005-2006,20
2,2005-2006,12
3,2005-2006,9
4,2005-2006,3
5,2005-2006,1
6,2005-2006,1
7,2005-2006,1
9,2006-2007,88
10,2006-2007,72
11,2006-2007,19
12,2006-2007,12
1,2006-2007,8
2,2006-2007,6
3,2006-2007,3
4,2006-2007,2
5,2006-2007,1
6,2006-2007,1
7,2006-2007,0
9,2007-2008,86
10,2007-2008,60
11,2007-2008,17
12,2007-2008,11
1,2007-2008,8
2,2007-2008,5
3,2007-2008,3
4,2007-2008,1
5,2007-2008,1
6,2007-2008,1
7,2007-2008,0
9,2009-2010,76
10,2009-2010,59
11,2009-2010,21
12,2009-2010,15
1,2009-2010,8
2,2009-2010,5
3,2009-2010,3
4,2009-2010,3
5,2009-2010,1
6,2009-2010,1
7,2009-2010,1
9,2010-2011,81
10,2010-2011,51
11,2010-2011,19
12,2010-2011,13
1,2010-2011,8
2,2010-2011,7
3,2010-2011,4
4,2010-2011,3
5,2010-2011,2
6,2010-2011,2
7,2010-2011,1
9,2011-2012,77
10,2011-2012,55
11,2011-2012,24
12,2011-2012,
1,2011-2012,
2,2011-2012,
3,2011-2012,
4,2011-2012,
5,2011-2012,
6,2011-2012,
7,2011-2012,
9,2012-2013,
10,2012-2013,55
11,2012-2013,23
12,2012-2013,14
1,2012-2013,8
2,2012-2013,6
3,2012-2013,5
4,2012-2013,3
5,2012-2013,2
6,2012-2013,0
7,2012-2013,0
9,2008-2009,82
10,2008-2009,60
11,2008-2009,30
12,2008-2009,14
1,2008-2009,7
2,2008-2009,4
3,2008-2009,2
4,2008-2009,2
5,2008-2009,1
6,2008-2009,1
7,2008-2009,0
