Jahr,Geschlecht,statistischeZoneId,statistischeZoneName,Geburten
1993,männlich,3305,Albisgüetli,4
1993,männlich,2107,Auf der Egg,5
2014,männlich,11501,Affolternstrasse,47
1993,männlich,11503,Albin Zollinger-Platz,18
1993,männlich,9209,Altstetterplatz,5
2014,männlich,2107,Auf der Egg,11
1993,männlich,11501,Affolternstrasse,11
2014,männlich,11503,Albin Zollinger-Platz,17
2014,männlich,3305,Albisgüetli,11
2014,männlich,9209,Altstetterplatz,21
1993,männlich,12203,Auhof,11
1993,männlich,3407,Bahnhof Wiedikon,16
1993,männlich,1401,Bahnhofplatz,1
2014,männlich,9206,Bachmattstrasse,13
1993,männlich,2101,Bahnhof Wollishofen,2
1993,männlich,10106,Bauherrenstrasse,6
1993,männlich,12103,Auzelg,7
2014,männlich,12103,Auzelg,3
2014,männlich,12203,Auhof,18
1993,männlich,11905,Ausserdorfstrasse,4
2014,männlich,11905,Ausserdorfstrasse,4
1993,männlich,9206,Bachmattstrasse,11
1993,männlich,4202,Bäckeranlage,6
2014,männlich,4202,Bäckeranlage,7
1993,männlich,6113,Beckenhof,11
1993,männlich,1203,Bellevue,1
1993,männlich,11508,Berninaplatz,9
2014,männlich,6113,Beckenhof,13
1993,männlich,2403,Belvoir-Park,7
2014,männlich,2403,Belvoir-Park,10
2014,männlich,5103,Berufsschule,1
1993,männlich,7103,Bethanien,8
1993,männlich,4204,Bezirksgebäude,1
2014,männlich,2102,Bellariastrasse,41
2014,männlich,1203,Bellevue,1
2014,männlich,3407,Bahnhof Wiedikon,24
2014,männlich,2101,Bahnhof Wollishofen,2
2014,männlich,10106,Bauherrenstrasse,8
1993,männlich,2102,Bellariastrasse,6
2014,männlich,7103,Bethanien,14
2014,männlich,4204,Bezirksgebäude,2
1993,männlich,9103,Bockhornstrasse,5
1993,männlich,12202,Bocklerstrasse,6
2014,männlich,3105,Binz,24
2014,männlich,12202,Bocklerstrasse,4
1993,männlich,3105,Binz,6
2014,männlich,9103,Bockhornstrasse,8
2014,männlich,11508,Berninaplatz,15
2014,männlich,9101,Brünneliacker,7
2014,männlich,7401,Buchzelgstrasse,9
2014,männlich,8303,Burghölzli,8
1993,männlich,9210,Calandastrasse,9
1993,männlich,8302,Botanischer Garten,3
2014,männlich,8302,Botanischer Garten,6
1993,männlich,3403,Brahmsstrasse,13
2014,männlich,3403,Brahmsstrasse,17
1993,männlich,9101,Brünneliacker,5
2014,männlich,9204,Buchlern,14
1993,männlich,7401,Buchzelgstrasse,10
1993,männlich,4403,Bullingerhof,31
1993,männlich,9204,Buchlern,11
2014,männlich,4403,Bullingerhof,28
2014,männlich,9210,Calandastrasse,11
1993,männlich,8102,Chinagarten,10
2014,männlich,8102,Chinagarten,19
2014,männlich,9205,Dachslernstrasse,18
1993,männlich,7301,Degenried,3
1993,männlich,12102,Dreispitz,15
1993,männlich,8303,Burghölzli,4
1993,männlich,7402,Carl Spitteler-Strasse,6
1993,männlich,6304,Culmannstrasse,16
2014,männlich,7402,Carl Spitteler-Strasse,12
2014,männlich,7203,Doldertal,7
1993,männlich,6112,Drahtschmidli,4
2014,männlich,7301,Degenried,13
1993,männlich,7201,Dolder,2
2014,männlich,7201,Dolder,3
1993,männlich,7203,Doldertal,2
2014,männlich,12102,Dreispitz,29
1993,männlich,9201,Dunkelhölzli,12
2014,männlich,6304,Culmannstrasse,19
1993,männlich,9205,Dachslernstrasse,10
2014,männlich,6112,Drahtschmidli,7
2014,männlich,9213,Edelweissstrasse,6
1993,männlich,9213,Edelweissstrasse,4
2014,männlich,11906,Eichrain,33
2014,männlich,9201,Dunkelhölzli,9
1993,männlich,9203,Eichbühl,5
2014,männlich,9203,Eichbühl,11
1993,männlich,7403,Eierbrecht,2
2014,männlich,7403,Eierbrecht,10
1993,männlich,2109,Entlisberg,23
1993,männlich,6305,Frauenklinik,6
1993,männlich,7207,Eidmattstrasse,14
2014,männlich,7207,Eidmattstrasse,14
1993,männlich,4203,Engelstrasse,13
2014,männlich,2109,Entlisberg,13
2014,männlich,6305,Frauenklinik,6
1993,männlich,6103,Freibad Allenmoos,1
2014,männlich,6103,Freibad Allenmoos,4
1993,männlich,2406,Gartenstrasse,3
1993,männlich,3302,Gehrenholz,11
2014,männlich,3402,Friedhof Sihlfeld,12
1993,männlich,3404,Fritschistrasse,21
1993,männlich,11102,Furttalstrasse,9
2014,männlich,3404,Fritschistrasse,20
1993,männlich,11906,Eichrain,10
2014,männlich,4203,Engelstrasse,20
2014,männlich,11509,Gorwiden,6
1993,männlich,3103,Gotthelfstrasse,10
2014,männlich,8203,Geranienstrasse,11
1993,männlich,7405,Glockenacker,2
2014,männlich,7405,Glockenacker,3
2014,männlich,3302,Gehrenholz,5
2014,männlich,6110,Gemsenstrasse,5
2014,männlich,3102,Goldbrunnenplatz,17
1993,männlich,9109,Espenhof,9
2014,männlich,9109,Espenhof,23
1993,männlich,3402,Friedhof Sihlfeld,7
1993,männlich,1103,Grossmünster,3
2014,männlich,1103,Grossmünster,7
1993,männlich,11908,Grünhaldenstrasse,19
2014,männlich,3103,Gotthelfstrasse,8
1993,männlich,9212,Grimselstrasse,15
1993,männlich,10110,Gsteigstrasse,4
2014,männlich,10107,Grossmannstrasse,10
2014,männlich,9216,Grünaustrasse,16
2014,männlich,10110,Gsteigstrasse,12
1993,männlich,6107,Guggachstrasse,10
2014,männlich,11102,Furttalstrasse,15
1993,männlich,6110,Gemsenstrasse,8
1993,männlich,8203,Geranienstrasse,6
1993,männlich,3102,Goldbrunnenplatz,11
1993,männlich,12101,Hagenholz,9
1993,männlich,7303,Hegibachplatz,12
2014,männlich,7101,Heubeeriweg,11
2014,männlich,6107,Guggachstrasse,13
1993,männlich,9208,Hardhof,5
2014,männlich,7303,Hegibachplatz,26
1993,männlich,4405,Güterbahnhof,12
2014,männlich,4405,Güterbahnhof,26
2014,männlich,12101,Hagenholz,9
1993,männlich,11509,Gorwiden,9
2014,männlich,9212,Grimselstrasse,18
1993,männlich,10107,Grossmannstrasse,8
2014,männlich,3101,Höfliweg,26
1993,männlich,8201,Holbeinstrasse,4
2014,männlich,12302,Hirzenbachstrasse,27
1993,männlich,3101,Höfliweg,21
1993,männlich,11904,Höhenring,20
1993,männlich,11502,Holunderhof,7
