Nr,Gemeinde,Wert,Klasse
1,Aeugst am Albis,5.98,5.0 - 6.9
2,Affoltern am Albis,6.94,5.0 - 6.9
3,Bonstetten,4.68,3.4 - 4.9
4,Hausen am Albis,5.92,5.0 - 6.9
5,Hedingen,5.06,5.0 - 6.9
8,Maschwanden,6.17,5.0 - 6.9
9,Mettmenstetten,5.15,5.0 - 6.9
10,Obfelden,5.32,5.0 - 6.9
11,Ottenbach,5.48,5.0 - 6.9
12,Rifferswil,5.63,5.0 - 6.9
13,Stallikon,5.84,5.0 - 6.9
14,Wettswil am Albis,8.31,7.0 - 8.9
23,Berg am Irchel,6.06,5.0 - 6.9
51,Bachenbülach,6.2,5.0 - 6.9
52,Bassersdorf,5.31,5.0 - 6.9
53,Bülach,6.93,5.0 - 6.9
54,Dietlikon,8.61,7.0 - 8.9
55,Eglisau,5.79,5.0 - 6.9
56,Embrach,5.31,5.0 - 6.9
57,Freienstein-Teufen,5.81,5.0 - 6.9
58,Glattfelden,4.73,3.4 - 4.9
59,Hochfelden,4.03,3.4 - 4.9
60,Höri,6.03,5.0 - 6.9
61,Hüntwangen,5.67,5.0 - 6.9
62,Kloten,7.71,7.0 - 8.9
63,Lufingen,3.52,3.4 - 4.9
64,Nürensdorf,7.68,7.0 - 8.9
65,Oberembrach,6.58,5.0 - 6.9
66,Opfikon,6.25,5.0 - 6.9
67,Rafz,6.13,5.0 - 6.9
68,Rorbas,3.67,3.4 - 4.9
69,Wallisellen,7.9,7.0 - 8.9
70,Wasterkingen,6.09,5.0 - 6.9
71,Wil (ZH),7.44,7.0 - 8.9
72,Winkel,6.01,5.0 - 6.9
81,Bachs,7.54,7.0 - 8.9
82,Boppelsen,4.65,3.4 - 4.9
83,Buchs (ZH),3.53,3.4 - 4.9
84,Dällikon,5.25,5.0 - 6.9
85,Dänikon,3.79,3.4 - 4.9
86,Dielsdorf,5.38,5.0 - 6.9
87,Hüttikon,5.58,5.0 - 6.9
88,Neerach,5.51,5.0 - 6.9
89,Niederglatt,5.95,5.0 - 6.9
90,Niederhasli,5.22,5.0 - 6.9
91,Niederweningen,4.13,3.4 - 4.9
92,Oberglatt,3.41,3.4 - 4.9
93,Oberweningen,4.5,3.4 - 4.9
94,Otelfingen,5.49,5.0 - 6.9
95,Regensberg,7.42,7.0 - 8.9
96,Regensdorf,6.86,5.0 - 6.9
97,Rümlang,7.29,7.0 - 8.9
98,Schleinikon,5.23,5.0 - 6.9
99,Schöfflisdorf,7.42,7.0 - 8.9
100,Stadel,6.9,5.0 - 6.9
101,Steinmaur,6.74,5.0 - 6.9
102,Weiach,6.87,5.0 - 6.9
111,Bäretswil,6.53,5.0 - 6.9
112,Bubikon,6.53,5.0 - 6.9
115,Gossau (ZH),6.84,5.0 - 6.9
116,Grüningen,6.98,5.0 - 6.9
117,Hinwil,7.42,7.0 - 8.9
119,Seegräben,5.33,5.0 - 6.9
121,Wetzikon (ZH),7.47,7.0 - 8.9
131,Adliswil,8.58,7.0 - 8.9
132,Hirzel,8.25,7.0 - 8.9
133,Horgen,8.83,7.0 - 8.9
134,Hütten,7.27,7.0 - 8.9
135,Kilchberg (ZH),10,9.0 - 10.9
136,Langnau am Albis,8.79,7.0 - 8.9
137,Oberrieden,10.67,9.0 - 10.9
138,Richterswil,7.11,7.0 - 8.9
139,Rüschlikon,10.44,9.0 - 10.9
140,Schönenberg (ZH),7.96,7.0 - 8.9
141,Thalwil,8.52,7.0 - 8.9
142,Wädenswil,8.16,7.0 - 8.9
151,Erlenbach (ZH),8.6,7.0 - 8.9
152,Herrliberg,9.01,9.0 - 10.9
153,Hombrechtikon,8.22,7.0 - 8.9
154,Küsnacht (ZH),12.37,11.0 - 12.9
155,Männedorf,9.81,9.0 - 10.9
156,Meilen,10.27,9.0 - 10.9
157,Oetwil am See,5.23,5.0 - 6.9
158,Stäfa,9.34,9.0 - 10.9
159,Uetikon am See,7.94,7.0 - 8.9
160,Zumikon,12.5,11.0 - 12.9
161,Zollikon,13.62,13.0 - 13.6
172,Fehraltorf,4.66,3.4 - 4.9
173,Hittnau,4.24,3.4 - 4.9
174,Illnau-Effretikon,7.8,7.0 - 8.9
175,Kyburg,4.42,3.4 - 4.9
176,Lindau,5.2,5.0 - 6.9
177,Pfäffikon,8.25,7.0 - 8.9
178,Russikon,7.26,7.0 - 8.9
180,Weisslingen,6.66,5.0 - 6.9
182,Wildberg,5.79,5.0 - 6.9
191,Dübendorf,7.74,7.0 - 8.9
