QNr,Qname,Anzahl
11,Rathaus,3109
12,Hochschulen,759
13,Lindenhof,989
14,City,929
21,Wollishofen,16102
23,Leimbach,4644
24,Enge,8189
31,Alt-Wiedikon,14789
33,Friesenberg,9972
34,Sihlfeld,20887
41,Werd,3917
42,Langstrasse,10237
44,Hard,12875
51,Gewerbeschule,9824
52,Escher Wyss,1929
61,Unterstrass,19933
63,Oberstrass,9864
71,Fluntern,7267
72,Hottingen,10147
73,Hirslanden,6759
74,Witikon,9544
81,Seefeld,4989
82,Mühlebach,5545
83,Weinegg,4804
91,Albisrieden,16445
92,Altstetten,28174
101,Höngg,20423
102,Wipkingen,15704
111,Affoltern,18387
115,Oerlikon,17876
119,Seebach,17870
121,Saatlen,6338
122,Schwamendingen-Mitte,10479
123,Hirzenbach,11281
