Jahr,Qcode,Qname,Ausländeranteil
2012,111,Affoltern,0.32
1993,111,Affoltern,0.22
2012,091,Albisrieden,0.25
1993,091,Albisrieden,0.2
2012,092,Altstetten,0.36
1993,092,Altstetten,0.29
2012,031,Alt-Wiedikon,0.35
1993,031,Alt-Wiedikon,0.29
1993,014,City,0.38
2012,014,City,0.31
2012,024,Enge,0.34
1993,024,Enge,0.2
2012,052,Escher Wyss,0.6
1993,052,Escher Wyss,0.21
2012,071,Fluntern,0.33
1993,071,Fluntern,0.18
2012,033,Friesenberg,0.21
1993,033,Friesenberg,0.18
1993,051,Gewerbeschule,0.5
2012,051,Gewerbeschule,0.34
1993,044,Hard,0.42
2012,044,Hard,0.41
2012,073,Hirslanden,0.25
1993,073,Hirslanden,0.17
2012,123,Hirzenbach,0.37
1993,123,Hirzenbach,0.26
1993,012,Hochschulen,0.29
2012,012,Hochschulen,0.26
2012,101,Höngg,0.22
1993,101,Höngg,
2012,072,Hottingen,0.29
1993,072,Hottingen,0.21
1993,042,Langstrasse,0.49
2012,042,Langstrasse,0.41
2012,023,Leimbach,0.24
1993,023,Leimbach,
2012,013,Lindenhof,0.26
1993,013,Lindenhof,0.16
2012,082,Mühlebach,0.32
1993,082,Mühlebach,0.22
2012,063,Oberstrass,0.29
1993,063,Oberstrass,0.23
2012,115,Oerlikon,0.36
1993,115,Oerlikon,0.29
2012,011,Rathaus,0.29
1993,011,Rathaus,0.21
2012,121,Saatlen,0.32
1993,121,Saatlen,0.22
2012,122,Schwamendingen-Mitte,0.4
1993,122,Schwamendingen-Mitte,0.32
2012,119,Seebach,0.37
1993,119,Seebach,0.28
2012,081,Seefeld,0.33
1993,081,Seefeld,0.26
1993,034,Sihlfeld,0.36
2012,034,Sihlfeld,0.32
2012,061,Unterstrass,0.29
1993,061,Unterstrass,0.21
2012,083,Weinegg,0.29
1993,083,Weinegg,0.27
1993,041,Werd,0.41
2012,041,Werd,0.38
1993,102,Wipkingen,0.34
2012,102,Wipkingen,0.3
2012,074,Witikon,0.23
1993,074,Witikon,
2012,021,Wollishofen,0.26
1993,021,Wollishofen,0.19
