Datum,Kategorie,Anzahl
01.01.1930,Zuzüge,26572
01.04.1930,Zuzüge,26814
01.07.1930,Zuzüge,27502
01.10.1930,Zuzüge,28478
01.01.1931,Zuzüge,29601
01.04.1931,Zuzüge,30639
01.07.1931,Zuzüge,31445
01.10.1931,Zuzüge,31782
01.01.1932,Zuzüge,31881
01.04.1932,Zuzüge,31944
01.07.1932,Zuzüge,32255
01.10.1932,Zuzüge,33006
01.01.1933,Zuzüge,33968
01.04.1933,Zuzüge,35052
01.07.1933,Zuzüge,35911
01.10.1933,Zuzüge,36405
01.01.1934,Zuzüge,36361
01.04.1934,Zuzüge,36081
01.07.1934,Zuzüge,35862
01.10.1934,Zuzüge,35737
01.01.1935,Zuzüge,35849
01.04.1935,Zuzüge,36192
01.07.1935,Zuzüge,36672
01.10.1935,Zuzüge,37312
01.01.1936,Zuzüge,37976
01.04.1936,Zuzüge,38741
01.07.1936,Zuzüge,39400
01.10.1936,Zuzüge,39952
01.01.1937,Zuzüge,40129
01.04.1937,Zuzüge,39998
01.07.1937,Zuzüge,39645
01.10.1937,Zuzüge,39092
01.01.1938,Zuzüge,38506
01.04.1938,Zuzüge,38032
01.07.1938,Zuzüge,37727
01.10.1938,Zuzüge,37445
01.01.1939,Zuzüge,37016
01.04.1939,Zuzüge,36520
01.07.1939,Zuzüge,36070
01.10.1939,Zuzüge,35788
01.01.1940,Zuzüge,35616
01.04.1940,Zuzüge,35540
01.07.1940,Zuzüge,35513
01.10.1940,Zuzüge,35525
01.01.1941,Zuzüge,35549
01.04.1941,Zuzüge,35630
01.07.1941,Zuzüge,35745
01.10.1941,Zuzüge,35967
01.01.1942,Zuzüge,36188
01.04.1942,Zuzüge,36406
01.07.1942,Zuzüge,36576
01.10.1942,Zuzüge,36687
01.01.1943,Zuzüge,36892
01.04.1943,Zuzüge,37029
01.07.1943,Zuzüge,37100
01.10.1943,Zuzüge,36910
01.01.1944,Zuzüge,36651
01.04.1944,Zuzüge,36185
01.07.1944,Zuzüge,35564
01.10.1944,Zuzüge,35040
01.01.1945,Zuzüge,34418
01.04.1945,Zuzüge,33872
01.07.1945,Zuzüge,33114
01.10.1945,Zuzüge,32193
01.01.1946,Zuzüge,31150
01.04.1946,Zuzüge,29767
01.07.1946,Zuzüge,28456
01.10.1946,Zuzüge,27204
01.01.1947,Zuzüge,26401
01.04.1947,Zuzüge,25914
01.07.1947,Zuzüge,25886
01.10.1947,Zuzüge,25951
01.01.1948,Zuzüge,
01.04.1948,Zuzüge,
01.07.1948,Zuzüge,
01.10.1948,Zuzüge,
01.01.1949,Zuzüge,
01.04.1949,Zuzüge,
01.07.1949,Zuzüge,
01.10.1949,Zuzüge,
01.01.1950,Zuzüge,20712
01.04.1950,Zuzüge,20709
01.07.1950,Zuzüge,20800
01.10.1950,Zuzüge,20880
01.01.1951,Zuzüge,20914
01.04.1951,Zuzüge,20875
01.07.1951,Zuzüge,20791
01.10.1951,Zuzüge,20698
01.01.1952,Zuzüge,20698
01.04.1952,Zuzüge,20810
01.07.1952,Zuzüge,21039
01.10.1952,Zuzüge,21151
01.01.1953,Zuzüge,21179
01.04.1953,Zuzüge,21347
01.07.1953,Zuzüge,21660
01.10.1953,Zuzüge,22353
01.01.1954,Zuzüge,23457
01.04.1954,Zuzüge,24995
01.07.1954,Zuzüge,26486
01.10.1954,Zuzüge,27816
01.01.1955,Zuzüge,28692
01.04.1955,Zuzüge,29337
01.07.1955,Zuzüge,30109
01.10.1955,Zuzüge,30823
01.01.1956,Zuzüge,31682
01.04.1956,Zuzüge,32588
01.07.1956,Zuzüge,33260
01.10.1956,Zuzüge,33764
01.01.1957,Zuzüge,34014
01.04.1957,Zuzüge,34347
01.07.1957,Zuzüge,34705
01.10.1957,Zuzüge,35267
01.01.1958,Zuzüge,35663
01.04.1958,Zuzüge,36063
01.07.1958,Zuzüge,36430
01.10.1958,Zuzüge,36690
01.01.1959,Zuzüge,37055
01.04.1959,Zuzüge,37621
01.07.1959,Zuzüge,38473
01.10.1959,Zuzüge,39303
01.01.1960,Zuzüge,40038
01.04.1960,Zuzüge,40490
01.07.1960,Zuzüge,40556
01.10.1960,Zuzüge,40364
01.01.1961,Zuzüge,40009
01.04.1961,Zuzüge,39705
01.07.1961,Zuzüge,39584
