Datum,Regen
01.11.2013,0  
02.11.2013,278  
03.11.2013,590  
04.11.2013,524  
05.11.2013,412  
06.11.2013,601  
07.11.2013,0  
08.11.2013,164  
09.11.2013,222  
10.11.2013,691  
11.11.2013,0
12.11.2013,0  
13.11.2013,0
14.11.2013,25
15.11.2013,81
16.11.2013,0
17.11.2013,0  
18.11.2013,0
19.11.2013,455  
20.11.2013,767  
21.11.2013,710  
22.11.2013,240  
23.11.2013,1094  
24.11.2013,585 
25.11.2013,82
26.11.2013,4
27.11.2013,0
28.11.2013,0
29.11.2013,119  
30.11.2013,440
