Sektor,Kategorie,Wert
Industrie,Beschäftigung,-6.8
Baugewerbe,Beschäftigung,3.8
Gross- und Detailhandel,Beschäftigung,4.9
Gastgewerbe,Beschäftigung,17.9
Transport & Kommunikation,Beschäftigung,-17.6
Finanzsektor,Beschäftigung,-10.5
Immobilien, F&E, Informatik,Beschäftigung,39.2
Verwaltung, Gesundheit- und Sozialwesen,Beschäftigung,23.8
Vermietung und Dienstleistung Haushalte,Beschäftigung,6.9
Industrie,BIP,1.9
Baugewerbe,BIP,39.7
Gross- und Detailhandel,BIP,-2.4
Gastgewerbe,BIP,57.6
Transport & Kommunikation,BIP,37.3
Finanzsektor,BIP,-44
Immobilien, F&E, Informatik,BIP,32.2
Verwaltung, Gesundheit- und Sozialwesen,BIP,10.6
Vermietung und Dienstleistung Haushalte,BIP,13.6
