Altersgruppe Männer,Altersgruppe Frauen,Anzahl
15-19,15-19,3
20-24,15-19,13
25-29,15-19,8
30-34,15-19,0
35-39,15-19,2
40-44,15-19,1
45-49,15-19,0
50-54,15-19,0
55-59,15-19,0
60-64,15-19,0
15-19,20-24,2
20-24,20-24,64
25-29,20-24,109
30-34,20-24,44
35-39,20-24,23
40-44,20-24,3
45-49,20-24,2
50-54,20-24,1
55-59,20-24,1
60-64,20-24,0
15-19,25-29,0
20-24,25-29,18
25-29,25-29,234
30-34,25-29,283
35-39,25-29,123
40-44,25-29,41
45-49,25-29,19
50-54,25-29,6
55-59,25-29,0
60-64,25-29,1
15-19,30-34,0
20-24,30-34,5
25-29,30-34,93
30-34,30-34,799
35-39,30-34,625
40-44,30-34,169
45-49,30-34,60
50-54,30-34,11
55-59,30-34,4
60-64,30-34,1
15-19,35-39,0
20-24,35-39,0
25-29,35-39,25
30-34,35-39,195
35-39,35-39,624
40-44,35-39,318
45-49,35-39,76
50-54,35-39,19
55-59,35-39,6
60-64,35-39,4
15-19,40-44,0
20-24,40-44,0
25-29,40-44,3
30-34,40-44,12
35-39,40-44,68
40-44,40-44,102
45-49,40-44,57
50-54,40-44,15
55-59,40-44,5
60-64,40-44,1
15-19,45-49,0
20-24,45-49,0
25-29,45-49,1
30-34,45-49,0
35-39,45-49,0
40-44,45-49,5
45-49,45-49,9
50-54,45-49,0
55-59,45-49,1
60-64,45-49,0
