Alter,Geschlecht,Ausbildung,Anzahl
0,Frauen,Hochschulabschluss,675
1,Frauen,Hochschulabschluss,747
2,Frauen,Hochschulabschluss,842
3,Frauen,Hochschulabschluss,869
4,Frauen,Hochschulabschluss,820
5,Frauen,Hochschulabschluss,850
6,Frauen,Hochschulabschluss,842
7,Frauen,Hochschulabschluss,837
8,Frauen,Hochschulabschluss,852
9,Frauen,Hochschulabschluss,766
10,Frauen,Hochschulabschluss,783
11,Frauen,Hochschulabschluss,728
12,Frauen,Hochschulabschluss,698
13,Frauen,Hochschulabschluss,682
14,Frauen,Hochschulabschluss,726
15,Frauen,Hochschulabschluss,692
16,Frauen,Hochschulabschluss,727
17,Frauen,Hochschulabschluss,701
18,Frauen,Hochschulabschluss,704
19,Frauen,Hochschulabschluss,783
20,Frauen,Hochschulabschluss,965
21,Frauen,Hochschulabschluss,1174
22,Frauen,Hochschulabschluss,1222
23,Frauen,Hochschulabschluss,1203
24,Frauen,Hochschulabschluss,1191
25,Frauen,Hochschulabschluss,1194
26,Frauen,Hochschulabschluss,1362
27,Frauen,Hochschulabschluss,1685
28,Frauen,Hochschulabschluss,1928
29,Frauen,Hochschulabschluss,2036
30,Frauen,Hochschulabschluss,2151
31,Frauen,Hochschulabschluss,2106
32,Frauen,Hochschulabschluss,2144
33,Frauen,Hochschulabschluss,1998
34,Frauen,Hochschulabschluss,1851
35,Frauen,Hochschulabschluss,1859
36,Frauen,Hochschulabschluss,1700
37,Frauen,Hochschulabschluss,1465
38,Frauen,Hochschulabschluss,1342
39,Frauen,Hochschulabschluss,1340
40,Frauen,Hochschulabschluss,1337
41,Frauen,Hochschulabschluss,1420
42,Frauen,Hochschulabschluss,1558
43,Frauen,Hochschulabschluss,1565
44,Frauen,Hochschulabschluss,1439
45,Frauen,Hochschulabschluss,1315
46,Frauen,Hochschulabschluss,1125
47,Frauen,Hochschulabschluss,1014
48,Frauen,Hochschulabschluss,915
49,Frauen,Hochschulabschluss,665
50,Frauen,Hochschulabschluss,626
51,Frauen,Hochschulabschluss,657
52,Frauen,Hochschulabschluss,715
53,Frauen,Hochschulabschluss,748
54,Frauen,Hochschulabschluss,834
55,Frauen,Hochschulabschluss,838
56,Frauen,Hochschulabschluss,873
57,Frauen,Hochschulabschluss,872
58,Frauen,Hochschulabschluss,925
59,Frauen,Hochschulabschluss,934
60,Frauen,Hochschulabschluss,913
61,Frauen,Hochschulabschluss,781
62,Frauen,Hochschulabschluss,756
63,Frauen,Hochschulabschluss,702
64,Frauen,Hochschulabschluss,670
65,Frauen,Hochschulabschluss,677
66,Frauen,Hochschulabschluss,605
67,Frauen,Hochschulabschluss,540
68,Frauen,Hochschulabschluss,544
69,Frauen,Hochschulabschluss,462
70,Frauen,Hochschulabschluss,471
71,Frauen,Hochschulabschluss,490
72,Frauen,Hochschulabschluss,401
73,Frauen,Hochschulabschluss,356
74,Frauen,Hochschulabschluss,313
75,Frauen,Hochschulabschluss,290
76,Frauen,Hochschulabschluss,250
77,Frauen,Hochschulabschluss,247
78,Frauen,Hochschulabschluss,264
79,Frauen,Hochschulabschluss,330
80,Frauen,Hochschulabschluss,405
81,Frauen,Hochschulabschluss,479
82,Frauen,Hochschulabschluss,615
83,Frauen,Hochschulabschluss,686
84,Frauen,Hochschulabschluss,720
85,Frauen,Hochschulabschluss,715
86,Frauen,Hochschulabschluss,704
87,Frauen,Hochschulabschluss,655
88,Frauen,Hochschulabschluss,518
89,Frauen,Hochschulabschluss,439
90,Frauen,Hochschulabschluss,396
91,Frauen,Hochschulabschluss,300
92,Frauen,Hochschulabschluss,238
93,Frauen,Hochschulabschluss,154
94,Frauen,Hochschulabschluss,106
95,Frauen,Hochschulabschluss,91
96,Frauen,Hochschulabschluss,53
97,Frauen,Hochschulabschluss,35
98,Frauen,Hochschulabschluss,20
99,Frauen,Hochschulabschluss,30
0,Frauen,Andere,1451
1,Frauen,Andere,1344
2,Frauen,Andere,1201
3,Frauen,Andere,1059
4,Frauen,Andere,828
5,Frauen,Andere,770
6,Frauen,Andere,756
7,Frauen,Andere,670
8,Frauen,Andere,608
9,Frauen,Andere,553
10,Frauen,Andere,554
11,Frauen,Andere,534
12,Frauen,Andere,604
13,Frauen,Andere,571
14,Frauen,Andere,536
15,Frauen,Andere,521
16,Frauen,Andere,556
17,Frauen,Andere,578
18,Frauen,Andere,674
19,Frauen,Andere,821
20,Frauen,Andere,1021
21,Frauen,Andere,1167
22,Frauen,Andere,1304
23,Frauen,Andere,1601
24,Frauen,Andere,2096
25,Frauen,Andere,2421
26,Frauen,Andere,2413
27,Frauen,Andere,2435
28,Frauen,Andere,2440
