id,name,traegerschaft,bezugsjahr
41,"Zwischenbächen","Neuzeitliches Wohnen",1950
42,"Ruggächern","Allgemeine Baugenossenschaft Zürich (ABZ)",2007
43,"Balberstrasse","Mieter-Baugenossenschaft Zürich (MBGZ)",1926
44,"8. Et. (Felsberg/Höhenring)","Milchbuck",1961
45,"Wehntalerstr. II","Baufreunde",1960
46,"Unteraffoltern","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1981
47,"Segantinistr.","Luegisland",1956
48,"23. Et. (Manessehof)","Familienheim-Genossenschaft (FGZ)",1984
49,"5. Et. (Hausäcker)","Graphika",1989
50,"Neuwiesen III","Glattal",1985
51,"Schaffhauserstr. (Herz-Jesu)","Herz-Jesu",1975
52,"Freihofstrasse 30, 32, 34, 36","Stiftung PWG",1992
53,"Kolonie IV (Erna 18; Zypressen 141-145; Hohl 191-195)","Gemeinnützige Bau- und Mietergenossenschaft (GBMZ)",1929
1,"Dübendorferstr.","Sunnige Hof",1958
2,"Im Holzerhurd 3 (Im Holzerhurd 37-39, 42)","ASIG",1973
3,"Letten 7","Eidgenössisches Personal (BEP)",1948
4,"1. Et.","Familienheim-Genossenschaft (FGZ)",1925
5,"5. Et. (Kelchweg 9, 11)","Halde Zürich",1950
6,"Katzenbach","Glattal",2006
7,"Seebach (ABZ)","Allgemeine Baugenossenschaft Zürich (ABZ)",1923
8,"Roswiesen (Glattal)","Glattal",1947
9,"Hirzenbach (Baufreunde)","Baufreunde",1983
10,"Et. IV (Luegisland: Luegislandstr.)","Süd-Ost",1949
11,"Heiligfeld I","Liegenschaftenverwaltung",1948
12,"Mittelleimbach","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1976
13,"Altstetten (Feldblumenstrasse 15)","GEWOBAG",1946
14,"Wuhrstr.","Maler und Bildhauer",1953
15,"Suteracher","Zurlinden",2003
16,"Norastrasse","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1976
17,"Suteracher 61","Alterswohnungen am Suteracher",1995
18,"Butzen (Heimelig)","Heimelig",1929
19,"16. Et. (Adolf-Lüchinger-Str.)","Familienheim-Genossenschaft (FGZ)",1952
20,"9. Et. (Fellenbergstr. 169-173, 179-183, Langgrütstr. 7-11, 16-20, 41-","Limmattal (GBL)",1951
21,"Brüggliäcker","BAHOGE",2013
22,"Witikonerstrasse 232","Zürich 7",1996
23,"Bullingerhof","Liegenschaftenverwaltung",1931
24,"4. Et. (Winterthurer-, Glattwiesenstr., Kronwiesenweg)","Vitasana",1949
25,"1./2. Et. (Wallisellenstr.)","Vitasana",1945
26,"Luchswiese (Luchswiesenstr. 201, Luchsgraben 2-16)","Kinderreiche Familien, Stiftung (KR)",1993
27,"Hüttenkopf-, Bocklerstr.","Alterswohnungen Zürich Schwamendingen",1984
28,"Kolonie Wipkingen 2","Denzlerstrasse",1923
29,"Kolonie Denzlerstrasse","Denzlerstrasse",1924
30,"Im Holzerhurd 2 (Im Holzerhurd 11, 15-25, 29, 33-35)","ASIG",1965
31,"Kolonie 12 (Hohlstr. 431-443)","Röntgenhof",1950
32,"Et. IIa (Tulpenweg, vorher Ueberland-/Tulpenstr.)","Süd-Ost",1946
33,"Dreispitz (Dreispitz 17-19, 35, Wallisellenstr. 352, Dreispitz 21)","ASIG",1972
34,"Gutstrasse Baufeld E","Im Gut",2012
35,"Et. 2b (Hoffeld-, Künzlistr., Goldregenweg)","Brunnenhof",1948
36,"Neuwiesen I","Glattal",1949
37,"Kronwiesen I","Glattal",1951
38,"ZH-Oerlikon","Wohn- und Siedlungsgenossenschaft (WSGZ)",1983
39,"Riedtli (Stadt Zürich)","Liegenschaftenverwaltung",1912
40,"ZH-Wollishofen Nidelbadstrasse","Wohn- und Siedlungsgenossenschaft (WSGZ)",1955
83,"2. Et. (Kalchbühlstr. 87-91)","Brunnenrain",1930
84,"3. Et. (Kalchbühlstr. 94-102)","Brunnenrain",1931
85,"Aemtlerstrasse 16","Stiftung PWG",1994
86,"Beckenhof 1 (Beckenhofstr. 43-45)","Berufstätige Frauen",1930
87,"Guggach 5 (Bucheggstr. 109)","Strassenbahner Zürich",0
88,"10. Etappe (Oberstrass)","Oberstrass",1964
89,"Seebahn","Eidgenössisches Personal (BEP)",1930
90,"Hirzenbach (SAW)","Stiftung Alterswohnungen der Stadt Zürich (SAW)",2009
91,"Burriweg, Schörliweg","Luegisland",1946
92,"Bändli","Eidgenössisches Personal (BEP)",1974
93,"Hagenbuchrain (Hagenbuchrain, Triemlistr.; Schützenrain)","Sonnengarten",2004
94,"Unteraffoltern I","Liegenschaftenverwaltung",1969
95,"Helen-Keller-Str.","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1974
96,"Stüssi","Eidgenössisches Personal (BEP)",1917
97,"Sihlamtstr.","Jugendwohnhilfe",1988
98,"Dufourstrasse 138","Stiftung PWG",1998
99,"Burriweg","Baufreunde",1948
100,"Kolonie 3 (Fabrikstr. 44; Josefstr. 161-169)","Röntgenhof",1927
101,"Leimgrübel","Liegenschaftenverwaltung",1958
102,"Tobelhof","Liegenschaftenverwaltung",1969
103,"Rainstr. 47-57; Im Raindörfli 1-26; Zeisigweg 6-12; Morgentalstr. 41-6","Zürich 2, Gemeinnützige",1931
104,"Alterswohnheim Buhnrain 3","Bruder Klaus, Alterswohnungen",1972
105,"Oerlikonerstrasse 75","Jugendwohnhilfe",1998
106,"Neunbrunnenstr.","Gemeinnützige Bau- und Mietergenossenschaft (GBMZ)",2002
107,"Rotbuchstrasse","Mieter-Baugenossenschaft Zürich (MBGZ)",1929
108,"Kolonie 11 (Hohlstr. 419-429)","Röntgenhof",1934
109,"Feldstrasse","Stiftung Alterswohnungen der Stadt Zürich (SAW)",0
110,"Schulhausstrasse 27","Stiftung PWG",2005
111,"Forchstr./Russenweg (Balgrist)","Balgrist",1979
124,"12. Et. (Rossweidli, oberer Kleinalbis, Langweid)","Familienheim-Genossenschaft (FGZ)",1943
125,"Karl-Stauffer-Str. 20,22","Burgmatte",1970
126,"Limmat I","Liegenschaftenverwaltung",1908
127,"Entlisbergstrasse","Entlisberg",1970
128,"Höngg, Regensdorferstr.","Liberale Höngg und Wipkingen",1991
129,"Gustav Heinrich-Weg","Allgemeine Baugenossenschaft Zürich (ABZ)",1996
130,"Hammer/Fröbel","Rotach",1927
131,"Entlisberg II","Allgemeine Baugenossenschaft Zürich (ABZ)",1929
132,"7. Et. (Luegislandstr.)","Vitasana",1958
133,"Werdwies","Liegenschaftenverwaltung",2006
134,"Zwängiwiese","Neubühl",2000
135,"Winzerhalde 5","WOGENO",1982
136,"Letzigraben 1. u. 2. Et.","Eigengrund",1947
137,"Holzmatt II (Zelgli-, Binzmühlestr.)","Baufreunde",1950
138,"Geibel","Waidberg",1930
112,"Luggweg (Luggwegstr. 129-142, Rautistr. 96-98)","Strassenbahner Zürich",1959
113,"7. Et. (Glättlistr. 5-9, 10, 11, 12, 23-25, 29-35, Chriesiweg 1-3, 10,","Halde Zürich",1952
114,"Köschenrütistrasse 95","Schönau",2011
