kontinent,region,land,kanton,anzahl
Afrika,Nordafrika,Algerien,Ausland,242
Afrika,Nordafrika,Libyen,Ausland,48
Afrika,Nordafrika,Marokko,Ausland,338
Afrika,Nordafrika,Mauretanien,Ausland,1
Afrika,Nordafrika,Sudan,Ausland,49
Afrika,Nordafrika,Tunesien,Ausland,339
Afrika,Nordafrika,Ägypten,Ausland,195
Afrika,Ostafrika,Eritrea,Ausland,1286
Afrika,Ostafrika,Kenia,Ausland,96
Afrika,Ostafrika,Seychellen,Ausland,2
Afrika,Ostafrika,Somalia,Ausland,920
Afrika,Ostafrika,Tansania,Ausland,18
Afrika,Ostafrika,Äthiopien,Ausland,180
Afrika,Südafrika,Lesotho,Ausland,1
Afrika,Südafrika,Sambia,Ausland,2
Afrika,Südafrika,Simbabwe,Ausland,15
Afrika,Südafrika,Südafrika,Ausland,119
Afrika,Südostafrika,Komoren,Ausland,5
Afrika,Südostafrika,Madagaskar,Ausland,4
Afrika,Südostafrika,Malawi,Ausland,1
Afrika,Südostafrika,Mauritius,Ausland,6
Afrika,Südostafrika,Mosambik,Ausland,4
Afrika,Südwestafrika,Angola,Ausland,220
Afrika,Südwestafrika,Namibia,Ausland,5
Afrika,Westafrika,Benin,Ausland,1
Afrika,Westafrika,Burkina Faso,Ausland,5
Afrika,Westafrika,Côte d'Ivoire,Ausland,87
Afrika,Westafrika,Gabun,Ausland,1
Afrika,Westafrika,Gambia,Ausland,82
Afrika,Westafrika,Ghana,Ausland,251
Afrika,Westafrika,Guinea,Ausland,34
Afrika,Westafrika,Guinea-Bissau,Ausland,3
Afrika,Westafrika,Kamerun,Ausland,174
Afrika,Westafrika,Kap Verde,Ausland,3
Afrika,Westafrika,Kongo (Brazzaville),Ausland,76
Afrika,Westafrika,Liberia,Ausland,19
Afrika,Westafrika,Mali,Ausland,11
Afrika,Westafrika,Niger,Ausland,2
Afrika,Westafrika,Nigeria,Ausland,217
Afrika,Westafrika,Senegal,Ausland,63
Afrika,Westafrika,Sierra Leone,Ausland,13
Afrika,Westafrika,Togo,Ausland,41
Afrika,Zentralafrika,Burundi,Ausland,2
Afrika,Zentralafrika,Kongo (Kinshasa),Ausland,161
Afrika,Zentralafrika,Ruanda,Ausland,10
Afrika,Zentralafrika,Tschad,Ausland,3
Afrika,Zentralafrika,Uganda,Ausland,17
Afrika,Zentralafrika,Zentralafrikanische Republik,Ausland,4
Amerika,Karibik,Antigua und Barbuda,Ausland,1
Amerika,Karibik,Bahamas,Ausland,2
Amerika,Karibik,Barbados,Ausland,3
Amerika,Karibik,Dominica,Ausland,1
Amerika,Karibik,Dominikanische Republik,Ausland,794
Amerika,Karibik,Grenada,Ausland,2
Amerika,Karibik,Haiti,Ausland,28
Amerika,Karibik,Jamaika,Ausland,75
Amerika,Karibik,Kuba,Ausland,170
Amerika,Karibik,St. Kitts und Nevis,Ausland,3
Amerika,Karibik,St. Lucia,Ausland,2
Amerika,Karibik,Trinidad und Tobago,Ausland,9
Amerika,Mittleres Südamerika,Bolivien,Ausland,82
Amerika,Mittleres Südamerika,Brasilien,Ausland,1432
Amerika,Mittleres Südamerika,Ecuador,Ausland,91
Amerika,Mittleres Südamerika,Paraguay,Ausland,30
Amerika,Mittleres Südamerika,Peru,Ausland,284
Amerika,Nordamerika,Kanada,Ausland,478
Amerika,Nordamerika,USA,Ausland,2157
Amerika,Nördliches Südamerika,Guayana,Ausland,1
Amerika,Nördliches Südamerika,Kolumbien,Ausland,330
Amerika,Nördliches Südamerika,Venezuela,Ausland,101
Amerika,Südliches Südamerika,Argentinien,Ausland,182
Amerika,Südliches Südamerika,Chile,Ausland,275
Amerika,Südliches Südamerika,Uruguay,Ausland,21
Amerika,Zentralamerika,Costa Rica,Ausland,32
Amerika,Zentralamerika,El Salvador,Ausland,8
Amerika,Zentralamerika,Guatemala,Ausland,14
Amerika,Zentralamerika,Honduras,Ausland,12
Amerika,Zentralamerika,Mexiko,Ausland,292
Amerika,Zentralamerika,Nicaragua,Ausland,11
Amerika,Zentralamerika,Panama,Ausland,6
Asien,Nördliches Asien,Mongolei,Ausland,60
Asien,Ostasien,China,Ausland,1654
Asien,Ostasien,Chinesisches Taipei,Ausland,98
Asien,Ostasien,Japan,Ausland,543
Asien,Ostasien,Nordkorea,Ausland,4
Asien,Ostasien,Südkorea,Ausland,198
Asien,Südasien,Afghanistan,Ausland,397
Asien,Südasien,Bangladesch,Ausland,669
Asien,Südasien,Bhutan,Ausland,1
Asien,Südasien,Indien,Ausland,2530
Asien,Südasien,Malediven,Ausland,2
Asien,Südasien,Nepal,Ausland,40
Asien,Südasien,Pakistan,Ausland,450
Asien,Südasien,Sri Lanka,Ausland,1528
Asien,Südostasien,Brunei Darussalam,Ausland,1
Asien,Südostasien,Indonesien,Ausland,156
Asien,Südostasien,Kambodscha,Ausland,31
Asien,Südostasien,Laos,Ausland,10
Asien,Südostasien,Malaysia,Ausland,147
Asien,Südostasien,Myanmar,Ausland,7
Asien,Südostasien,Philippinen,Ausland,432
Asien,Südostasien,Singapur,Ausland,75
Asien,Südostasien,Thailand,Ausland,826
Asien,Südostasien,Vietnam,Ausland,195
Asien,Südwestasien,Armenien,Ausland,58
Asien,Südwestasien,Aserbaidschan,Ausland,40
Asien,Südwestasien,Georgien,Ausland,32
Asien,Westasien,Bahrain,Ausland,2
Asien,Westasien,Irak,Ausland,565
Asien,Westasien,Iran,Ausland,425
Asien,Westasien,Israel,Ausland,284
Asien,Westasien,Jemen,Ausland,17
Asien,Westasien,Jordanien,Ausland,37
Asien,Westasien,Katar,Ausland,11
Asien,Westasien,Kuwait,Ausland,4
Asien,Westasien,Libanon,Ausland,254
Asien,Westasien,Saudi-Arabien,Ausland,16
Asien,Westasien,Syrien,Ausland,323
Asien,Westasien,Vereinigte Arabische Emirate,Ausland,4
Asien,Zentralasien,Kasachstan,Ausland,39
Asien,Zentralasien,Kirgisistan,Ausland,30
Asien,Zentralasien,Tadschikistan,Ausland,3
Asien,Zentralasien,Turkmenistan,Ausland,3
Asien,Zentralasien,Usbekistan,Ausland,25
