kontinent,region,anzahl
Afrika,Nordafrika,1212
Afrika,Ostafrika,2502
Afrika,Südafrika,137
Afrika,Südostafrika,20
Afrika,Südwestafrika,225
Afrika,Westafrika,1083
Afrika,Zentralafrika,197
Amerika,Karibik,1090
Amerika,Mittleres Südamerika,1919
Amerika,Nordamerika,2635
Amerika,Nördliches Südamerika,432
Amerika,Südliches Südamerika,478
Amerika,Zentralamerika,375
Asien,Nördliches Asien,60
Asien,Ostasien,2497
Asien,Südasien,5617
Asien,Südostasien,1880
Asien,Südwestasien,130
Asien,Westasien,1942
Asien,Zentralasien,100
Europa,Nordeuropa,2064
Europa,Osteuropa,2119
Europa,Südeuropa,19836
Europa,Südosteuropa,13135
Europa,Südwesteuropa,14528
Europa,Westeuropa,9997
Europa,Zentraleuropa,318095
Ozeanien,Mittleres Ozeanien,2
Ozeanien,Südliches Ozeanien,389
Unzuteilbar,Unzuteilbar,87
