Eigentümerart,Quartier,NWNG
Baugenossenschaft,Wollishofen,26
Gesellschaften,Wollishofen,40
Natürliche Personen,Wollishofen,5
Stockwerkeigentum,Wollishofen,0
Öffentlich,Wollishofen,0
Baugenossenschaft,Enge,0
Gesellschaften,Enge,69
Natürliche Personen,Enge,0
Stockwerkeigentum,Enge,0
Öffentlich,Enge,0
Baugenossenschaft,Friesenberg,12
Gesellschaften,Friesenberg,0
Natürliche Personen,Friesenberg,0
Stockwerkeigentum,Friesenberg,0
Öffentlich,Friesenberg,0
Baugenossenschaft,Sihlfeld,62
Gesellschaften,Sihlfeld,0
Natürliche Personen,Sihlfeld,0
Stockwerkeigentum,Sihlfeld,0
Öffentlich,Sihlfeld,0
Baugenossenschaft,Werd,55
Gesellschaften,Werd,0
Natürliche Personen,Werd,0
Stockwerkeigentum,Werd,0
Öffentlich,Werd,0
Baugenossenschaft,Langstrasse,54
Gesellschaften,Langstrasse,0
Natürliche Personen,Langstrasse,11
Stockwerkeigentum,Langstrasse,0
Öffentlich,Langstrasse,0
Baugenossenschaft,Gewerbeschule,0
Gesellschaften,Gewerbeschule,0
Natürliche Personen,Gewerbeschule,0
Stockwerkeigentum,Gewerbeschule,0
Öffentlich,Gewerbeschule,0
Baugenossenschaft,Escher Wyss,0
Gesellschaften,Escher Wyss,0
Natürliche Personen,Escher Wyss,0
Stockwerkeigentum,Escher Wyss,186
Öffentlich,Escher Wyss,0
Baugenossenschaft,Unterstrass,0
Gesellschaften,Unterstrass,4
Natürliche Personen,Unterstrass,0
Stockwerkeigentum,Unterstrass,0
Öffentlich,Unterstrass,0
Baugenossenschaft,Oberstrass,0
Gesellschaften,Oberstrass,6
Natürliche Personen,Oberstrass,0
Stockwerkeigentum,Oberstrass,0
Öffentlich,Oberstrass,0
Baugenossenschaft,Fluntern,0
Gesellschaften,Fluntern,0
Natürliche Personen,Fluntern,8
Stockwerkeigentum,Fluntern,0
Öffentlich,Fluntern,0
Baugenossenschaft,Hottingen,0
Gesellschaften,Hottingen,0
Natürliche Personen,Hottingen,1
Stockwerkeigentum,Hottingen,0
Öffentlich,Hottingen,0
Baugenossenschaft,Hirslanden,0
Gesellschaften,Hirslanden,21
Natürliche Personen,Hirslanden,0
Stockwerkeigentum,Hirslanden,0
Öffentlich,Hirslanden,0
Baugenossenschaft,Witikon,0
Gesellschaften,Witikon,26
Natürliche Personen,Witikon,36
Stockwerkeigentum,Witikon,0
Öffentlich,Witikon,0
Baugenossenschaft,Seefeld,0
Gesellschaften,Seefeld,9
Natürliche Personen,Seefeld,13
Stockwerkeigentum,Seefeld,0
Öffentlich,Seefeld,0
Baugenossenschaft,Weinegg,0
Gesellschaften,Weinegg,3
Natürliche Personen,Weinegg,15
Stockwerkeigentum,Weinegg,3
Öffentlich,Weinegg,0
Baugenossenschaft,Albisrieden,0
Gesellschaften,Albisrieden,0
Natürliche Personen,Albisrieden,26
Stockwerkeigentum,Albisrieden,0
Öffentlich,Albisrieden,0
Baugenossenschaft,Altstetten,13
Gesellschaften,Altstetten,0
Natürliche Personen,Altstetten,11
Stockwerkeigentum,Altstetten,12
Öffentlich,Altstetten,0
Baugenossenschaft,Höngg,0
Gesellschaften,Höngg,25
Natürliche Personen,Höngg,3
Stockwerkeigentum,Höngg,8
Öffentlich,Höngg,0
Baugenossenschaft,Affoltern,100
Gesellschaften,Affoltern,0
Natürliche Personen,Affoltern,7
Stockwerkeigentum,Affoltern,0
Öffentlich,Affoltern,41
Baugenossenschaft,Oerlikon,21
Gesellschaften,Oerlikon,0
Natürliche Personen,Oerlikon,40
Stockwerkeigentum,Oerlikon,14
Öffentlich,Oerlikon,0
Baugenossenschaft,Seebach,0
Gesellschaften,Seebach,54
Natürliche Personen,Seebach,20
Stockwerkeigentum,Seebach,0
Öffentlich,Seebach,90
Baugenossenschaft,Saatlen,32
Gesellschaften,Saatlen,20
Natürliche Personen,Saatlen,0
Stockwerkeigentum,Saatlen,0
Öffentlich,Saatlen,0
Baugenossenschaft,Schwamendingen-Mitte,0
Gesellschaften,Schwamendingen-Mitte,27
Natürliche Personen,Schwamendingen-Mitte,14
Stockwerkeigentum,Schwamendingen-Mitte,15
Öffentlich,Schwamendingen-Mitte,0
Baugenossenschaft,Hirzenbach,108
Gesellschaften,Hirzenbach,256
Natürliche Personen,Hirzenbach,0
Stockwerkeigentum,Hirzenbach,0
Öffentlich,Hirzenbach,0
