Datum,Totalindex
1.12.2010,100.0
1.1.2011,100.0
1.2.2011,100.0
1.3.2011,100.0
1.4.2011,100.0
1.5.2011,100.0
1.6.2011,100.0
1.7.2011,100.0
1.8.2011,100.0
1.9.2011,99.4
1.10.2011,99.4
1.11.2011,99.3
1.12.2011,99.1
1.1.2012,98.9
1.2.2012,99.2
1.3.2012,100.0
1.4.2012,100.0
1.5.2012,100.0
1.6.2012,99.4
1.7.2012,99
1.8.2012,99
1.9.2012,99.2
1.10.2012,99.4
1.11.2012,98.9
1.12.2012,98.7
1.1.2013,98.8
1.2.2013,99.1
1.3.2013,99.3
1.4.2013,99.3
1.5.2013,99.4
1.6.2013,99.5
1.7.2013,99.2
1.8.2013,99.1
1.9.2013,99.4
1.10.2013,99.3
1.11.2013,99.4
1.12.2013,99.2
1.1.2014,98.9
