Ereignisjahr,qcode,qname,Anzahl_Geburten_wirtschaftlich,wirtschaftliche_Bevölkerung,Geburtenziffer_Promille
1993,11,Rathaus,26,3133,8.298755
1993,12,Hochschulen,4,808,4.950495
1993,13,Lindenhof,9,1136,7.922535
1993,14,City,5,884,5.656109
1993,21,Wollishofen,159,15956,9.964903
1993,23,Leimbach,36,4555,7.903403
1993,24,Enge,90,8096,11.1166
1993,31,Alt-Wiedikon,163,14654,11.12324
1993,33,Friesenberg,73,10150,7.192118
1993,34,Sihlfeld,232,21536,10.77266
1993,41,Werd,45,4048,11.1166
1993,42,Langstrasse,126,11505,10.95176
1993,44,Hard,147,12747,11.53213
1993,51,Gewerbeschule,101,9948,10.15279
1993,52,Escher Wyss,15,1549,9.683667
1993,61,Unterstrass,199,20438,9.736765
1993,63,Oberstrass,98,10164,9.641873
1993,71,Fluntern,60,7188,8.347245
1993,72,Hottingen,88,10139,8.679357
1993,73,Hirslanden,40,6835,5.852231
1993,74,Witikon,74,9626,7.687513
1993,81,Seefeld,52,5283,9.842892
1993,82,Mühlebach,35,5694,6.146821
1993,83,Weinegg,43,4856,8.855025
1993,91,Albisrieden,153,17132,8.930656
1993,92,Altstetten,239,27869,8.575837
1993,101,Höngg,166,19118,8.682917
1993,102,Wipkingen,152,15974,9.515463
1993,111,Affoltern,167,18095,9.229069
1993,115,Oerlikon,180,16607,10.8388
1993,119,Seebach,180,17614,10.21914
1993,121,Saatlen,61,6472,9.425216
1993,122,Schwamendingen-Mitte,97,10255,9.458801
1993,123,Hirzenbach,85,10834,7.845671
1994,11,Rathaus,17,3108,5.469755
1994,12,Hochschulen,1,809,1.236094
1994,13,Lindenhof,4,1067,3.748828
1994,14,City,6,821,7.308161
1994,21,Wollishofen,120,15929,7.53343
1994,23,Leimbach,39,4585,8.505998
1994,24,Enge,82,8097,10.12721
1994,31,Alt-Wiedikon,182,14840,12.26415
1994,33,Friesenberg,55,10193,5.39586
1994,34,Sihlfeld,226,21608,10.45909
1994,41,Werd,56,4144,13.51351
1994,42,Langstrasse,136,11220,12.12121
1994,44,Hard,155,12815,12.0952
1994,51,Gewerbeschule,127,9788,12.97507
1994,52,Escher Wyss,18,1601,11.24297
1994,61,Unterstrass,197,20514,9.603198
1994,63,Oberstrass,76,10274,7.397314
1994,71,Fluntern,60,7078,8.476971
1994,72,Hottingen,106,10241,10.35055
1994,73,Hirslanden,49,6738,7.272188
1994,74,Witikon,79,9661,8.177207
1994,81,Seefeld,44,5317,8.275343
1994,82,Mühlebach,48,5618,8.543966
1994,83,Weinegg,45,4875,9.230769
1994,91,Albisrieden,143,17018,8.402868
1994,92,Altstetten,282,27697,10.18161
1994,101,Höngg,186,19152,9.711779
1994,102,Wipkingen,188,16036,11.72362
1994,111,Affoltern,162,18054,8.973081
1994,115,Oerlikon,163,16678,9.773354
1994,119,Seebach,182,17631,10.32273
1994,121,Saatlen,52,6450,8.062016
1994,122,Schwamendingen-Mitte,103,10310,9.990301
1994,123,Hirzenbach,94,10881,8.638912
1995,11,Rathaus,18,3056,5.890052
1995,12,Hochschulen,4,795,5.031447
1995,13,Lindenhof,11,1060,10.37736
1995,14,City,11,989,11.12235
1995,21,Wollishofen,142,15912,8.924082
1995,23,Leimbach,37,4620,8.008658
1995,24,Enge,90,8203,10.9716
1995,31,Alt-Wiedikon,191,14758,12.94213
1995,33,Friesenberg,70,10187,6.871503
1995,34,Sihlfeld,234,21387,10.94123
1995,41,Werd,45,4039,11.14137
1995,42,Langstrasse,106,11064,9.580622
