Ereignisjahr,KontinentK,HeimatK,Anzahl
1993,Afrika,Algerien,1
1993,Afrika,Angola,0
1993,Afrika,Äthiopien,1
1993,Afrika,Dem. Republik Kongo,4
1993,Afrika,Eritrea,0
1993,Afrika,Ghana,8
1993,Afrika,Marokko,6
1993,Afrika,Nigeria,1
1993,Afrika,Somalia,2
1993,Afrika,Tunesien,3
1993,Amerika,Argentinien,0
1993,Amerika,Brasilien,2
1993,Amerika,Chile,4
1993,Amerika,Dominikanische Republik,3
1993,Amerika,Kanada,2
1993,Amerika,Kolumbien,1
1993,Amerika,Kuba,0
1993,Amerika,Mexico,0
1993,Amerika,Peru,0
1993,Amerika,USA,9
1993,Asien,Bangla Desh,5
1993,Asien,China (Volksrepublik China),5
1993,Asien,Indien,15
1993,Asien,Irak,1
1993,Asien,Iran,13
1993,Asien,Libanon,14
1993,Asien,Pakistan,3
1993,Asien,Philippinen,7
1993,Asien,Sri Lanka,113
1993,Asien,Thailand,4
1993,Europa,Bosnien-Herzegowina,8
1993,Europa,Deutschland,63
1993,Europa,Grossbritannien,12
1993,Europa,Italien,186
1993,Europa,Kroatien,33
1993,Europa,Mazedonien,4
1993,Europa,Portugal,101
1993,Europa,"Serbien, Montenegro und Kosovo",346
1993,Europa,Spanien,89
1993,Europa,Türkei,114
1993,Ozeanien,Australien,3
1993,Ozeanien,Fidschi Inseln,0
1993,Ozeanien,Neuseeland,0
1993,Ozeanien,Tonga,0
1993,Schweiz,Schweiz,2087
1994,Afrika,Algerien,0
1994,Afrika,Angola,1
1994,Afrika,Äthiopien,2
1994,Afrika,Dem. Republik Kongo,2
1994,Afrika,Eritrea,0
1994,Afrika,Ghana,4
1994,Afrika,Marokko,4
1994,Afrika,Nigeria,0
1994,Afrika,Somalia,6
1994,Afrika,Tunesien,3
1994,Amerika,Argentinien,1
1994,Amerika,Brasilien,2
1994,Amerika,Chile,6
1994,Amerika,Dominikanische Republik,7
1994,Amerika,Kanada,2
1994,Amerika,Kolumbien,1
1994,Amerika,Kuba,0
1994,Amerika,Mexico,1
1994,Amerika,Peru,1
1994,Amerika,USA,10
1994,Asien,Bangla Desh,3
1994,Asien,China (Volksrepublik China),5
1994,Asien,Indien,9
1994,Asien,Irak,3
1994,Asien,Iran,10
1994,Asien,Libanon,5
1994,Asien,Pakistan,8
1994,Asien,Philippinen,6
1994,Asien,Sri Lanka,116
1994,Asien,Thailand,5
1994,Europa,Bosnien-Herzegowina,26
1994,Europa,Deutschland,70
1994,Europa,Grossbritannien,11
1994,Europa,Italien,186
1994,Europa,Kroatien,44
1994,Europa,Mazedonien,33
1994,Europa,Portugal,117
1994,Europa,"Serbien, Montenegro und Kosovo",323
1994,Europa,Spanien,117
1994,Europa,Türkei,120
1994,Ozeanien,Australien,2
1994,Ozeanien,Fidschi Inseln,0
1994,Ozeanien,Neuseeland,1
1994,Ozeanien,Tonga,0
1994,Schweiz,Schweiz,2089
1995,Afrika,Algerien,3
1995,Afrika,Angola,3
1995,Afrika,Äthiopien,3
1995,Afrika,Dem. Republik Kongo,5
1995,Afrika,Eritrea,0
1995,Afrika,Ghana,1
1995,Afrika,Marokko,5
1995,Afrika,Nigeria,1
1995,Afrika,Somalia,10
1995,Afrika,Tunesien,5
