Jahr,Raum,KreisNum,Kreis,Wert,Klasse
2017,Stadtkreis,1,Kreis 1,95,90 bis 100
2017,Stadtkreis,2,Kreis 2,94.7,90 bis 100
2017,Stadtkreis,3,Kreis 3,92.7,90 bis 100
2017,Stadtkreis,4,Kreis 4,96.1,90 bis 100
2017,Stadtkreis,5,Kreis 5,93,90 bis 100
2017,Stadtkreis,6,Kreis 6,77.5,70 bis 79
2017,Stadtkreis,7,Kreis 7,66.2,60 bis 69
2017,Stadtkreis,8,Kreis 8,80,80 bis 89
2017,Stadtkreis,9,Kreis 9,93.5,90 bis 100
2017,Stadtkreis,10,Kreis 10,55.4,50 bis 59
2017,Stadtkreis,11,Kreis 11,79.2,70 bis 79
2017,Stadtkreis,12,Kreis 12,58.2,50 bis 59
2018,Stadtkreis,1,Kreis 1,95,90 bis 100
2018,Stadtkreis,2,Kreis 2,89.9,80 bis 89
2018,Stadtkreis,3,Kreis 3,94.6,90 bis 100
2018,Stadtkreis,4,Kreis 4,96.6,90 bis 100
2018,Stadtkreis,5,Kreis 5,95.8,90 bis 100
2018,Stadtkreis,6,Kreis 6,73,70 bis 79
2018,Stadtkreis,7,Kreis 7,71.2,70 bis 79
2018,Stadtkreis,8,Kreis 8,89.3,80 bis 89
2018,Stadtkreis,9,Kreis 9,94.6,90 bis 100
2018,Stadtkreis,10,Kreis 10,50.5,50 bis 59
2018,Stadtkreis,11,Kreis 11,73.5,70 bis 79
2018,Stadtkreis,12,Kreis 12,52.1,50 bis 59
2019,Stadtkreis,1,Kreis 1,97.6,90 bis 100
2019,Stadtkreis,2,Kreis 2,94.4,90 bis 100
2019,Stadtkreis,3,Kreis 3,92.5,90 bis 100
2019,Stadtkreis,4,Kreis 4,97.6,90 bis 100
2019,Stadtkreis,5,Kreis 5,94.9,90 bis 100
2019,Stadtkreis,6,Kreis 6,80,80 bis 89
2019,Stadtkreis,7,Kreis 7,76.8,70 bis 79
2019,Stadtkreis,8,Kreis 8,90,90 bis 100
2019,Stadtkreis,9,Kreis 9,92.8,90 bis 100
2019,Stadtkreis,10,Kreis 10,58.7,50 bis 59
2019,Stadtkreis,11,Kreis 11,75.6,70 bis 79
2019,Stadtkreis,12,Kreis 12,55.7,50 bis 59
2020,Stadtkreis,1,Kreis 1,96.2,90 bis 100
2020,Stadtkreis,2,Kreis 2,92.2,90 bis 100
2020,Stadtkreis,3,Kreis 3,93.7,90 bis 100
2020,Stadtkreis,4,Kreis 4,94.3,90 bis 100
2020,Stadtkreis,5,Kreis 5,94.4,90 bis 100
2020,Stadtkreis,6,Kreis 6,83,80 bis 89
2020,Stadtkreis,7,Kreis 7,59.6,50 bis 59
2020,Stadtkreis,8,Kreis 8,90.2,90 bis 100
2020,Stadtkreis,9,Kreis 9,89.5,80 bis 89
2020,Stadtkreis,10,Kreis 10,60.9,60 bis 69
2020,Stadtkreis,11,Kreis 11,74.4,70 bis 79
2020,Stadtkreis,12,Kreis 12,55,50 bis 59
2021,Stadtkreis,1,Kreis 1,94,90 bis 100
2021,Stadtkreis,2,Kreis 2,91.7,90 bis 100
2021,Stadtkreis,3,Kreis 3,90.5,90 bis 100
2021,Stadtkreis,4,Kreis 4,94.6,90 bis 100
2021,Stadtkreis,5,Kreis 5,91.7,90 bis 100
2021,Stadtkreis,6,Kreis 6,83.1,80 bis 89
2021,Stadtkreis,7,Kreis 7,53.5,50 bis 59
2021,Stadtkreis,8,Kreis 8,85.7,80 bis 89
2021,Stadtkreis,9,Kreis 9,83.2,80 bis 89
2021,Stadtkreis,10,Kreis 10,37.2,30 bis 39
2021,Stadtkreis,11,Kreis 11,76.9,70 bis 79
2021,Stadtkreis,12,Kreis 12,52.6,50 bis 59
2022,Stadtkreis,1,Kreis 1,96.7,90 bis 100
2022,Stadtkreis,2,Kreis 2,93.6,90 bis 100
2022,Stadtkreis,3,Kreis 3,93.1,90 bis 100
2022,Stadtkreis,4,Kreis 4,97.1,90 bis 100
2022,Stadtkreis,5,Kreis 5,96.4,90 bis 100
2022,Stadtkreis,6,Kreis 6,87.6,80 bis 89
2022,Stadtkreis,7,Kreis 7,63.6,60 bis 69
2022,Stadtkreis,8,Kreis 8,76.9,70 bis 79
2022,Stadtkreis,9,Kreis 9,90.3,90 bis 100
2022,Stadtkreis,10,Kreis 10,71.7,70 bis 79
2022,Stadtkreis,11,Kreis 11,88.4,80 bis 89
2022,Stadtkreis,12,Kreis 12,62.1,60 bis 69
2023,Stadtkreis,1,Kreis 1,94.1,90 bis 100
2023,Stadtkreis,2,Kreis 2,89.8,80 bis 89
2023,Stadtkreis,3,Kreis 3,89,80 bis 89
2023,Stadtkreis,4,Kreis 4,94,90 bis 100
2023,Stadtkreis,5,Kreis 5,94.5,90 bis 100
2023,Stadtkreis,6,Kreis 6,84.1,80 bis 89
2023,Stadtkreis,7,Kreis 7,69.7,60 bis 69
2023,Stadtkreis,8,Kreis 8,86.2,80 bis 89
2023,Stadtkreis,9,Kreis 9,89.6,80 bis 89
2023,Stadtkreis,10,Kreis 10,63.1,60 bis 69
2023,Stadtkreis,11,Kreis 11,86.2,80 bis 89
2023,Stadtkreis,12,Kreis 12,63.5,60 bis 69
2024,Stadtkreis,1,Kreis 1,96.7,90 bis 100
2024,Stadtkreis,2,Kreis 2,94.5,90 bis 100
2024,Stadtkreis,3,Kreis 3,94.4,90 bis 100
2024,Stadtkreis,4,Kreis 4,98.4,90 bis 100
2024,Stadtkreis,5,Kreis 5,95.1,90 bis 100
2024,Stadtkreis,6,Kreis 6,83.7,80 bis 89
2024,Stadtkreis,7,Kreis 7,68.6,60 bis 69
2024,Stadtkreis,8,Kreis 8,82,80 bis 89
2024,Stadtkreis,9,Kreis 9,83.6,80 bis 89
2024,Stadtkreis,10,Kreis 10,72.8,70 bis 79
2024,Stadtkreis,11,Kreis 11,86.2,80 bis 89
2024,Stadtkreis,12,Kreis 12,62.1,60 bis 69
