QNr,Qname,Jahr,Anzahl
11,Rathaus,2000,3109
12,Hochschulen,2000,759
13,Lindenhof,2000,989
14,City,2000,929
21,Wollishofen,2000,16102
23,Leimbach,2000,4644
24,Enge,2000,8189
31,Alt-Wiedikon,2000,14789
33,Friesenberg,2000,9972
34,Sihlfeld,2000,20887
41,Werd,2000,3917
42,Langstrasse,2000,10237
44,Hard,2000,12875
51,Gewerbeschule,2000,9824
52,Escher Wyss,2000,1929
61,Unterstrass,2000,19933
63,Oberstrass,2000,9864
71,Fluntern,2000,7267
72,Hottingen,2000,10147
73,Hirslanden,2000,6759
74,Witikon,2000,9544
81,Seefeld,2000,4989
82,Mühlebach,2000,5545
83,Weinegg,2000,4804
91,Albisrieden,2000,16445
92,Altstetten,2000,28174
101,Höngg,2000,20423
102,Wipkingen,2000,15704
111,Affoltern,2000,18387
115,Oerlikon,2000,17876
119,Seebach,2000,17870
121,Saatlen,2000,6338
122,Schwamendingen-Mitte,2000,10479
123,Hirzenbach,2000,11281
11,Rathaus,2001,3103
12,Hochschulen,2001,738
13,Lindenhof,2001,948
14,City,2001,907
21,Wollishofen,2001,15928
23,Leimbach,2001,4668
24,Enge,2001,8102
31,Alt-Wiedikon,2001,14692
33,Friesenberg,2001,10042
34,Sihlfeld,2001,20704
41,Werd,2001,3838
42,Langstrasse,2001,10276
44,Hard,2001,12841
51,Gewerbeschule,2001,9835
52,Escher Wyss,2001,2133
61,Unterstrass,2001,19831
63,Oberstrass,2001,9764
71,Fluntern,2001,7221
72,Hottingen,2001,10096
73,Hirslanden,2001,6800
74,Witikon,2001,9559
81,Seefeld,2001,5025
82,Mühlebach,2001,5486
83,Weinegg,2001,4816
91,Albisrieden,2001,16614
92,Altstetten,2001,28783
101,Höngg,2001,20588
102,Wipkingen,2001,15567
111,Affoltern,2001,18693
115,Oerlikon,2001,18223
119,Seebach,2001,18103
121,Saatlen,2001,6386
122,Schwamendingen-Mitte,2001,10430
123,Hirzenbach,2001,11302
11,Rathaus,2002,3128
12,Hochschulen,2002,727
13,Lindenhof,2002,950
14,City,2002,910
21,Wollishofen,2002,15771
23,Leimbach,2002,4681
24,Enge,2002,8279
31,Alt-Wiedikon,2002,14811
33,Friesenberg,2002,10188
34,Sihlfeld,2002,20731
41,Werd,2002,3850
42,Langstrasse,2002,10447
44,Hard,2002,12856
51,Gewerbeschule,2002,9900
52,Escher Wyss,2002,2516
61,Unterstrass,2002,19863
63,Oberstrass,2002,9725
71,Fluntern,2002,7069
72,Hottingen,2002,10021
73,Hirslanden,2002,6781
74,Witikon,2002,9571
81,Seefeld,2002,5122
82,Mühlebach,2002,5450
83,Weinegg,2002,4776
91,Albisrieden,2002,16669
92,Altstetten,2002,28776
101,Höngg,2002,20570
102,Wipkingen,2002,15495
111,Affoltern,2002,18705
115,Oerlikon,2002,18778
119,Seebach,2002,18972
121,Saatlen,2002,6663
122,Schwamendingen-Mitte,2002,10373
123,Hirzenbach,2002,11434
11,Rathaus,2003,3149
12,Hochschulen,2003,723
13,Lindenhof,2003,942
14,City,2003,886
21,Wollishofen,2003,15468
23,Leimbach,2003,4830
24,Enge,2003,8228
31,Alt-Wiedikon,2003,14459
33,Friesenberg,2003,10387
34,Sihlfeld,2003,20663
41,Werd,2003,3788
42,Langstrasse,2003,10304
44,Hard,2003,12817
51,Gewerbeschule,2003,9781
52,Escher Wyss,2003,2465
61,Unterstrass,2003,19882
63,Oberstrass,2003,9689
71,Fluntern,2003,7102
72,Hottingen,2003,10017
73,Hirslanden,2003,6795
74,Witikon,2003,9503
81,Seefeld,2003,4996
82,Mühlebach,2003,5434
83,Weinegg,2003,4747
91,Albisrieden,2003,17018
92,Altstetten,2003,28323
101,Höngg,2003,20810
102,Wipkingen,2003,15476
111,Affoltern,2003,18787
115,Oerlikon,2003,19217
119,Seebach,2003,19438
121,Saatlen,2003,6583
122,Schwamendingen-Mitte,2003,10389
123,Hirzenbach,2003,11432
11,Rathaus,2004,3115
12,Hochschulen,2004,725
13,Lindenhof,2004,947
14,City,2004,843
21,Wollishofen,2004,15499
23,Leimbach,2004,4778
24,Enge,2004,8209
31,Alt-Wiedikon,2004,14551
33,Friesenberg,2004,10326
34,Sihlfeld,2004,20567
41,Werd,2004,3763
42,Langstrasse,2004,10319
44,Hard,2004,12804
51,Gewerbeschule,2004,9773
52,Escher Wyss,2004,2624
61,Unterstrass,2004,19742
63,Oberstrass,2004,9546
71,Fluntern,2004,7285
72,Hottingen,2004,9926
73,Hirslanden,2004,6806
74,Witikon,2004,9711
81,Seefeld,2004,4993
82,Mühlebach,2004,5546
