Jahr,Branche,Wert
1992,Landwirtschaft,56
1993,Landwirtschaft,53
1994,Landwirtschaft,50
1995,Landwirtschaft,49
1996,Landwirtschaft,44
1997,Landwirtschaft,43
1998,Landwirtschaft,43
1999,Landwirtschaft,40
2000,Landwirtschaft,42
2001,Landwirtschaft,38
2002,Landwirtschaft,40
2003,Landwirtschaft,40
2004,Landwirtschaft,48
2005,Landwirtschaft,47
2006,Landwirtschaft,53
2007,Landwirtschaft,63
2008,Landwirtschaft,74
2009,Landwirtschaft,75
2010,Landwirtschaft,70
1992,Industrie,3113
1993,Industrie,3118
1994,Industrie,3289
1995,Industrie,3280
1996,Industrie,3206
1997,Industrie,3221
1998,Industrie,3169
1999,Industrie,3144
2000,Industrie,3108
2001,Industrie,3194
2002,Industrie,2978
2003,Industrie,2870
2004,Industrie,2823
2005,Industrie,2803
2006,Industrie,2871
2007,Industrie,2938
2008,Industrie,2981
2009,Industrie,2805
2010,Industrie,2889
1992,Baugewerbe,1698
1993,Baugewerbe,1643
1994,Baugewerbe,1745
1995,Baugewerbe,1692
1996,Baugewerbe,1543
1997,Baugewerbe,1395
1998,Baugewerbe,1418
1999,Baugewerbe,1443
2000,Baugewerbe,1513
2001,Baugewerbe,1577
2002,Baugewerbe,1595
2003,Baugewerbe,1568
2004,Baugewerbe,1554
2005,Baugewerbe,1561
2006,Baugewerbe,1554
2007,Baugewerbe,1555
2008,Baugewerbe,1608
2009,Baugewerbe,1649
2010,Baugewerbe,1768
1992,Gross- und Detailhandel,4037
1993,Gross- und Detailhandel,3976
1994,Gross- und Detailhandel,4003
1995,Gross- und Detailhandel,4043
1996,Gross- und Detailhandel,3973
1997,Gross- und Detailhandel,4020
1998,Gross- und Detailhandel,4084
1999,Gross- und Detailhandel,4175
2000,Gross- und Detailhandel,4343
2001,Gross- und Detailhandel,4492
2002,Gross- und Detailhandel,4482
2003,Gross- und Detailhandel,4487
2004,Gross- und Detailhandel,4576
2005,Gross- und Detailhandel,4639
2006,Gross- und Detailhandel,4809
2007,Gross- und Detailhandel,5049
2008,Gross- und Detailhandel,5460
2009,Gross- und Detailhandel,5254
2010,Gross- und Detailhandel,5073
1992,Gastgewerbe,1044
1993,Gastgewerbe,996
1994,Gastgewerbe,983
1995,Gastgewerbe,1038
1996,Gastgewerbe,1056
1997,Gastgewerbe,1040
1998,Gastgewerbe,1089
1999,Gastgewerbe,1119
2000,Gastgewerbe,1158
2001,Gastgewerbe,1201
2002,Gastgewerbe,1156
2003,Gastgewerbe,1065
2004,Gastgewerbe,1018
2005,Gastgewerbe,1025
2006,Gastgewerbe,1098
2007,Gastgewerbe,1194
2008,Gastgewerbe,1303
2009,Gastgewerbe,1303
2010,Gastgewerbe,1480
1992,Transport & Kommunikation,2334
1993,Transport & Kommunikation,2315
1994,Transport & Kommunikation,2305
1995,Transport & Kommunikation,2338
1996,Transport & Kommunikation,2470
1997,Transport & Kommunikation,2458
1998,Transport & Kommunikation,2557
1999,Transport & Kommunikation,2469
2000,Transport & Kommunikation,2566
2001,Transport & Kommunikation,2621
2002,Transport & Kommunikation,3156
2003,Transport & Kommunikation,3297
2004,Transport & Kommunikation,3512
2005,Transport & Kommunikation,3610
2006,Transport & Kommunikation,3546
2007,Transport & Kommunikation,3667
2008,Transport & Kommunikation,3921
2009,Transport & Kommunikation,3868
2010,Transport & Kommunikation,3876
1992,Kreditgewerbe,4325
1993,Kreditgewerbe,6222
1994,Kreditgewerbe,6210
1995,Kreditgewerbe,5829
1996,Kreditgewerbe,7423
1997,Kreditgewerbe,9435
1998,Kreditgewerbe,10744
1999,Kreditgewerbe,11148
2000,Kreditgewerbe,12591
2001,Kreditgewerbe,10806
2002,Kreditgewerbe,10310
2003,Kreditgewerbe,10705
2004,Kreditgewerbe,10791
2005,Kreditgewerbe,11936
2006,Kreditgewerbe,13496
2007,Kreditgewerbe,15052
2008,Kreditgewerbe,13999
2009,Kreditgewerbe,12717
2010,Kreditgewerbe,12160
1992,Versicherungsgewerbe,2785
1993,Versicherungsgewerbe,2856
1994,Versicherungsgewerbe,2538
1995,Versicherungsgewerbe,2716
1996,Versicherungsgewerbe,2914
1997,Versicherungsgewerbe,3199
1998,Versicherungsgewerbe,3484
1999,Versicherungsgewerbe,3368
2000,Versicherungsgewerbe,3935
2001,Versicherungsgewerbe,3549
2002,Versicherungsgewerbe,4082
2003,Versicherungsgewerbe,4621
2004,Versicherungsgewerbe,4759
2005,Versicherungsgewerbe,4092
2006,Versicherungsgewerbe,4909
2007,Versicherungsgewerbe,5755
2008,Versicherungsgewerbe,5796
2009,Versicherungsgewerbe,5614
2010,Versicherungsgewerbe,6050
1992,Immobilien & Vermietung,3904
1993,Immobilien & Vermietung,4084
1994,Immobilien & Vermietung,4422
1995,Immobilien & Vermietung,4465
1996,Immobilien & Vermietung,4664
1997,Immobilien & Vermietung,4740
1998,Immobilien & Vermietung,4981
1999,Immobilien & Vermietung,5139
2000,Immobilien & Vermietung,5345
2001,Immobilien & Vermietung,5672
2002,Immobilien & Vermietung,5193
2003,Immobilien & Vermietung,4855
2004,Immobilien & Vermietung,5117
2005,Immobilien & Vermietung,5313
2006,Immobilien & Vermietung,5798
2007,Immobilien & Vermietung,6351
2008,Immobilien & Vermietung,7072
2009,Immobilien & Vermietung,7342
2010,Immobilien & Vermietung,7800
1992,Informatik / F&E,680
1993,Informatik / F&E,715
1994,Informatik / F&E,774
1995,Informatik / F&E,780
1996,Informatik / F&E,837
1997,Informatik / F&E,895
1998,Informatik / F&E,982
1999,Informatik / F&E,1118
2000,Informatik / F&E,1266
2001,Informatik / F&E,1362
2002,Informatik / F&E,1375
2003,Informatik / F&E,1242
2004,Informatik / F&E,1294
2005,Informatik / F&E,1323
2006,Informatik / F&E,1435
2007,Informatik / F&E,1552
2008,Informatik / F&E,1750
2009,Informatik / F&E,1839
2010,Informatik / F&E,1963
1992,Öffentliche Verwaltung,3356
1993,Öffentliche Verwaltung,3436
1994,Öffentliche Verwaltung,3546
1995,Öffentliche Verwaltung,3592
1996,Öffentliche Verwaltung,3634
1997,Öffentliche Verwaltung,3581
1998,Öffentliche Verwaltung,3569
1999,Öffentliche Verwaltung,3617
2000,Öffentliche Verwaltung,3802
2001,Öffentliche Verwaltung,4025
2002,Öffentliche Verwaltung,4121
2003,Öffentliche Verwaltung,4231
2004,Öffentliche Verwaltung,4322
2005,Öffentliche Verwaltung,4396
2006,Öffentliche Verwaltung,4537
2007,Öffentliche Verwaltung,4726
2008,Öffentliche Verwaltung,5006
2009,Öffentliche Verwaltung,5132
2010,Öffentliche Verwaltung,5170
1992,Gesundheits- und Sozialwesen,2030
1993,Gesundheits- und Sozialwesen,2095
1994,Gesundheits- und Sozialwesen,2193
1995,Gesundheits- und Sozialwesen,2322
1996,Gesundheits- und Sozialwesen,2373
1997,Gesundheits- und Sozialwesen,2405
1998,Gesundheits- und Sozialwesen,2469
1999,Gesundheits- und Sozialwesen,2476
2000,Gesundheits- und Sozialwesen,2608
2001,Gesundheits- und Sozialwesen,2747
2002,Gesundheits- und Sozialwesen,2787
2003,Gesundheits- und Sozialwesen,2804
2004,Gesundheits- und Sozialwesen,2889
2005,Gesundheits- und Sozialwesen,2937
2006,Gesundheits- und Sozialwesen,3020
2007,Gesundheits- und Sozialwesen,3129
2008,Gesundheits- und Sozialwesen,3356
2009,Gesundheits- und Sozialwesen,3505
2010,Gesundheits- und Sozialwesen,3579
