Zuzugsregion,Stadtquartier,Anzahl
Karibik,Affoltern,7
Karibik,Albisrieden,11
Karibik,Alt-Wiedikon,8
Karibik,Altstetten,7
Karibik,Enge,1
Karibik,Fluntern,1
Karibik,Friesenberg,2
Karibik,Gewerbeschule,3
Karibik,Hard,4
Karibik,Hirslanden,1
Karibik,Hirzenbach,1
Karibik,Hochschulen,1
Karibik,Hottingen,1
Karibik,Höngg,1
Karibik,Langstrasse,53
Karibik,Leimbach,1
Karibik,Lindenhof,1
Karibik,Mühlebach,2
Karibik,Oberstrass,0
Karibik,Oerlikon,2
Karibik,Rathaus,7
Karibik,Schwamendingen-Mitte,2
Karibik,Seebach,8
Karibik,Sihlfeld,5
Karibik,Unterstrass,4
Karibik,Wipkingen,7
Karibik,Witikon,4
Karibik,Wollishofen,8
Mittleres Südamerika,Affoltern,19
Mittleres Südamerika,Albisrieden,9
Mittleres Südamerika,Alt-Wiedikon,21
Mittleres Südamerika,Altstetten,24
Mittleres Südamerika,City,2
Mittleres Südamerika,Enge,19
Mittleres Südamerika,Escher Wyss,4
Mittleres Südamerika,Fluntern,6
Mittleres Südamerika,Friesenberg,1
Mittleres Südamerika,Gewerbeschule,11
Mittleres Südamerika,Hard,9
Mittleres Südamerika,Hirslanden,4
Mittleres Südamerika,Hirzenbach,17
Mittleres Südamerika,Hottingen,13
Mittleres Südamerika,Höngg,5
Mittleres Südamerika,Langstrasse,28
Mittleres Südamerika,Leimbach,2
Mittleres Südamerika,Lindenhof,3
Mittleres Südamerika,Mühlebach,14
Mittleres Südamerika,Oberstrass,7
Mittleres Südamerika,Oerlikon,20
Mittleres Südamerika,Rathaus,3
Mittleres Südamerika,Saatlen,2
Mittleres Südamerika,Schwamendingen-Mitte,4
Mittleres Südamerika,Seebach,13
Mittleres Südamerika,Seefeld,9
Mittleres Südamerika,Sihlfeld,18
Mittleres Südamerika,Unterstrass,24
Mittleres Südamerika,Weinegg,1
Mittleres Südamerika,Werd,10
Mittleres Südamerika,Wipkingen,13
Mittleres Südamerika,Witikon,6
Mittleres Südamerika,Wollishofen,7
Nordafrika,Affoltern,4
Nordafrika,Albisrieden,20
Nordafrika,Alt-Wiedikon,5
Nordafrika,Altstetten,14
Nordafrika,Enge,1
Nordafrika,Fluntern,3
Nordafrika,Friesenberg,2
Nordafrika,Gewerbeschule,1
Nordafrika,Hard,1
Nordafrika,Hirzenbach,14
Nordafrika,Hochschulen,1
Nordafrika,Hottingen,3
Nordafrika,Höngg,5
Nordafrika,Langstrasse,7
Nordafrika,Leimbach,2
Nordafrika,Lindenhof,0
Nordafrika,Mühlebach,7
Nordafrika,Oberstrass,5
Nordafrika,Oerlikon,14
Nordafrika,Saatlen,3
Nordafrika,Schwamendingen-Mitte,5
Nordafrika,Seebach,11
Nordafrika,Sihlfeld,13
Nordafrika,Unterstrass,10
Nordafrika,Weinegg,2
Nordafrika,Werd,2
Nordafrika,Wipkingen,4
Nordafrika,Witikon,1
Nordafrika,Wollishofen,0
Nordamerika,Affoltern,80
Nordamerika,Albisrieden,17
Nordamerika,Alt-Wiedikon,95
Nordamerika,Altstetten,56
Nordamerika,City,5
Nordamerika,Enge,46
Nordamerika,Escher Wyss,27
Nordamerika,Fluntern,33
Nordamerika,Friesenberg,12
Nordamerika,Gewerbeschule,20
Nordamerika,Hard,16
Nordamerika,Hirslanden,29
Nordamerika,Hirzenbach,5
Nordamerika,Hochschulen,10
Nordamerika,Hottingen,49
Nordamerika,Höngg,46
Nordamerika,Langstrasse,22
Nordamerika,Leimbach,3
Nordamerika,Lindenhof,3
Nordamerika,Mühlebach,63
Nordamerika,Oberstrass,56
Nordamerika,Oerlikon,72
Nordamerika,Rathaus,16
Nordamerika,Saatlen,14
Nordamerika,Schwamendingen-Mitte,9
Nordamerika,Seebach,50
Nordamerika,Seefeld,75
Nordamerika,Sihlfeld,39
Nordamerika,Unterstrass,99
Nordamerika,Weinegg,17
Nordamerika,Werd,17
Nordamerika,Wipkingen,30
Nordamerika,Witikon,10
Nordamerika,Wollishofen,30
Nordeuropa,Affoltern,45
Nordeuropa,Albisrieden,13
Nordeuropa,Alt-Wiedikon,26
Nordeuropa,Altstetten,27
Nordeuropa,City,6
Nordeuropa,Enge,16
Nordeuropa,Escher Wyss,6
Nordeuropa,Fluntern,6
Nordeuropa,Friesenberg,3
Nordeuropa,Gewerbeschule,12
Nordeuropa,Hard,13
Nordeuropa,Hirslanden,5
Nordeuropa,Hirzenbach,7
Nordeuropa,Hochschulen,7
Nordeuropa,Hottingen,19
Nordeuropa,Höngg,22
Nordeuropa,Langstrasse,20
Nordeuropa,Leimbach,1
Nordeuropa,Lindenhof,1
Nordeuropa,Mühlebach,18
Nordeuropa,Oberstrass,14
Nordeuropa,Oerlikon,43
Nordeuropa,Rathaus,5
Nordeuropa,Saatlen,9
Nordeuropa,Schwamendingen-Mitte,1
Nordeuropa,Seebach,31
Nordeuropa,Seefeld,6
Nordeuropa,Sihlfeld,16
Nordeuropa,Unterstrass,40
Nordeuropa,Weinegg,6
Nordeuropa,Werd,3
Nordeuropa,Wipkingen,16
Nordeuropa,Witikon,3
Nordeuropa,Wollishofen,16
Nördliches Asien,Affoltern,3
Nördliches Asien,Alt-Wiedikon,1
Nördliches Südamerika,Affoltern,4
Nördliches Südamerika,Albisrieden,1
Nördliches Südamerika,Alt-Wiedikon,3
Nördliches Südamerika,Altstetten,9
Nördliches Südamerika,City,0
Nördliches Südamerika,Escher Wyss,1
Nördliches Südamerika,Friesenberg,1
Nördliches Südamerika,Gewerbeschule,1
Nördliches Südamerika,Hard,2
Nördliches Südamerika,Hirslanden,5
Nördliches Südamerika,Hirzenbach,1
Nördliches Südamerika,Hottingen,2
Nördliches Südamerika,Höngg,3
Nördliches Südamerika,Langstrasse,3
Nördliches Südamerika,Leimbach,2
Nördliches Südamerika,Oberstrass,2
Nördliches Südamerika,Oerlikon,1
Nördliches Südamerika,Saatlen,1
Nördliches Südamerika,Seebach,2
Nördliches Südamerika,Seefeld,1
Nördliches Südamerika,Sihlfeld,3
Nördliches Südamerika,Unterstrass,4
Nördliches Südamerika,Weinegg,1
Nördliches Südamerika,Werd,1
Nördliches Südamerika,Wipkingen,1
Nördliches Südamerika,Witikon,2
Nördliches Südamerika,Wollishofen,1
Ostafrika,Affoltern,5
Ostafrika,Albisrieden,6
Ostafrika,Alt-Wiedikon,2
Ostafrika,Altstetten,15
Ostafrika,Enge,1
Ostafrika,Fluntern,1
Ostafrika,Gewerbeschule,5
Ostafrika,Hirslanden,2
Ostafrika,Hirzenbach,1
Ostafrika,Hottingen,1
Ostafrika,Höngg,2
Ostafrika,Langstrasse,2
Ostafrika,Oberstrass,6
Ostafrika,Oerlikon,4
Ostafrika,Schwamendingen-Mitte,3
Ostafrika,Seebach,2
Ostafrika,Sihlfeld,9
Ostafrika,Unterstrass,8
